Tag,Notes,English,Japanese,German,French,Spanish,Portuguese,Russian,Italian,Chinese (Traditional),Chinese (Simplified),Korean,Polish,Ukrainian,Dutch,Turkish
L_ACC_BLAZINGAURA,,Blazing Aura,燃え盛るオーラ,Flammende Aura,Aura Flamboyante,Aura Ardiente,Aura Flamejante,Пылающая Аура,Aura Fiammeggiante,烈焰靈氣,烈焰光环,불타는 오라,Płomienna Aura,Палаюча Аура,Vlammende Aura,Alev Aurası
L_ACC_CHILLINGAURA,,Chilling Aura,凍てつくオーラ,Frostige Aura,Aura Glaciale,Aura Gélida,Aura Gélida,Леденящая Аура,Aura Gelida,寒冷氣場,寒冻光环,냉기의 기운,Mrożąca Aura,Крижана Аура,Ijzige Aura,Dondurucu Aura
L_ACC_EVILAURA,,Evil Aura,邪悪なオーラ,Böse Aura,Aura Maléfique,Aura Maligna,Aura Maligna,Злобная Аура,Aura Malvagia,邪惡氣息,邪恶光环,사악한 기운,Złowroga Aura,Злісна Аура,Kwaadaardige Aura,Kötülük Aurası
L_ACC_MAGICCIRCLEBLACK,,Magic Circle (Black),魔法陣（黒）,Magischer Kreis (Schwarz),Cercle Magique (Noir),Círculo Mágico (Negro),Círculo Mágico (Negro),Магический Круг (Чёрный),Cerchio Magico (Nero),魔法陣（黑）,魔法阵（黑）,마법 진(검은색),Magiczny Krąg (Czarny),Магічне Коло (Чорне),Magische Cirkel (Zwart),Büyü Çemberi (Siyah)
L_ACC_MAGICCIRCLEBLUE,,Magic Circle (Blue),魔法陣（青）,Magischer Kreis (Blau),Cercle Magique (Bleu),Círculo Mágico (Azul),Círculo Mágico (Azul),Магический Круг (Синий),Cerchio Magico (Blu),魔法陣（藍）,魔法阵（蓝）,마법 진(파랑),Magiczny Krąg (Niebieski),Магічне Коло (Синє),Magische Cirkel (Blauw),Büyü Çemberi (Mavi)
L_ACC_MAGICCIRCLEGREEN,,Magic Circle (Green),魔法陣（緑）,Magischer Kreis (Grün),Cercle Magique (Vert),Círculo Mágico (Verde),Círculo Mágico (Verde),Магический Круг (Зелёный),Cerchio Magico (Verde),魔法陣（綠）,魔法阵（绿）,마법 진(녹색),Magiczny Krąg (Zielony),Магічне Коло (Зелене),Magische Cirkel (Groen),Büyü Çemberi (Yeşil)
L_ACC_MAGICCIRCLEGOLD,,Magic Circle (Gold),魔法陣（金）,Magischer Kreis (Gold),Cercle Magique (Or),Círculo Mágico (Oro),Círculo Mágico (Ouro),Магический Круг (Золотой),Cerchio Magico (Oro),魔法陣（金）,魔法阵（金）,마법 진(금),Magiczny Krąg (Złoty),Магічне Коло (Золоте),Magische Cirkel (Goud),Sihir Çemberi (Altın)
L_ACC_MAGICCIRCLEPURPLE,,Magic Circle (Purple),魔法陣（紫）,Magischer Kreis (Lila),Cercle Magique (Violet),Círculo Mágico (Púrpura),Círculo Mágico (Roxo),Магический Круг (Фиолетовый),Cerchio Magico (Viola),魔法陣（紫）,魔法阵（紫）,마법 진(보라색),Magiczny Krąg (Fioletowy),Магічне Коло (Фіолетове),Magische Cirkel (Paars),Büyü Çemberi (Mor)
L_ACC_MAGICCIRCLERED,,Magic Circle (Red),魔法陣（赤）,Magischer Kreis (Rot),Cercle Magique (Rouge),Círculo Mágico (Rojo),Círculo Mágico (Vermelho),Магический Круг (Красный),Cerchio Magico (Rosso),魔法陣（紅）,魔法阵（红）,마법 진(적색),Magiczny Krąg (Czerwony),Магічне Коло (Червоне),Magische Cirkel (Rood),Büyü Çemberi (Kırmızı)
L_ACC_MAGICCIRCLEWHITE,,Magic Circle (White),魔法陣（白）,Magischer Kreis (Weiß),Cercle Magique (Blanc),Círculo Mágico (Blanco),Círculo Mágico (Branco),Магический Круг (Белый),Cerchio Magico (Bianco),魔法陣（白）,魔法阵（白）,마법 진(백색),Magiczny Krąg (Biały),Магічне Коло (Біле),Magische Cirkel (Wit),Büyü Çemberi (Beyaz)
L_ACC_MAGICCIRCLEYELLOW,,Magic Circle (Yellow),魔法陣（黄）,Magischer Kreis (Gelb),Cercle Magique (Jaune),Círculo Mágico (Amarillo),Círculo Mágico (Amarelo),Магический Круг (Жёлтый),Cerchio Magico (Giallo),魔法陣（黃色）,魔法阵（黄）,마법 진(노랑),Magiczny Krąg (Żółty),Магічне Коло (Жовте),Magische Cirkel (Geel),Büyü Çemberi (Sarı)
L_ACC_MYSTICAURA,,Mystic Aura,神秘のオーラ,Mystische Aura,Aura Mystique,Aura Mística,Aura Mística,Мистическая Аура,Aura Mistica,神秘靈氣,神秘光环,신비한 오라,Mistyczna Aura,Містична Аура,Mystieke Aura,Mistik Aura
L_ACC_PRISMATICAURA,,Prismatic Aura,プリズマティック・オーラ,Prismatische Aura,Aura Prismatique,Aura Prismática,Aura Prismática,Призматическая Аура,Aura Prismatica,稜鏡光環,棱彩光环,프리즘 오라,Pryzmatyczna Aura,Призматична Аура,Prismatische Aura,Prizmatik Aura
L_ACC_SHININGAURA,,Shining Aura,シャイニングオーラ,Strahlende Aura,Aura Éclatante,Aura Resplandeciente,Aura Resplandecente,Сияющая Аура,Aura Splendente,閃耀靈氣,闪耀光环,빛나는 오라,Lśniąca Aura,Сяюча Аура,Stralende Aura,Parlayan Aura
L_ACC_SHOCKINGAURA,,Shocking Aura,ショッキングオーラ,Schockende Aura,Aura Foudroyante,Aura Impactante,Aura Chocante,Шокирующая Аура,Aura Folgorante,震懾光環,震电光环,충격 오라,Porażająca Aura,Приголомшлива Аура,Schokkende Aura,Şok Aurası
L_ACC_SPARKLINGAURA,,Sparkling Aura,輝くオーラ,Funkelnde Aura,Aura Étincelante,Aura Resplandeciente,Aura Cintilante,Искрящаяся Аура,Aura Scintillante,閃爍光環,闪烁光环,반짝이는 오라,Iskrząca Aura,Іскриста Аура,Fonkelende Aura,Işıldayan Aura
