Tag,Notes,English,Japanese,German,French,Spanish,Portuguese,Russian,Italian,Chinese (Traditional),Chinese (Simplified),Korean,Polish,Ukrainian,Dutch,Turkish
L_COD_STATUSEFFECTS,Don't touch this note. Needs to be here or the game crashes on Android because Gamemaker is terrible.,Status Effects,ステータス効果,Statuseffekte,Effets d'État,Efectos de Estado,Efeitos de Status,Эффекты статуса,Effetti di Stato,狀態效果,状态效果,상태 효과,Efekty Statusu,Ефекти статусу,Statuseffecten,Durum Etkileri
L_COD_ARTIFACTS,,Artifacts,アーティファクト,Artefakte,Artéfacts,Artefactos,Artefatos,Артефакты,Artefatti,神器,神器,유물,Artefakty,Артефакти,Artefacten,Eserler
L_COD_ARTIFACTPROPERTIES,,Artifact Properties,アーティファクトの特性,Artefakteigenschaften,Propriétés d'Artéfact,Propiedades del Artefacto,Propriedades do Artefato,Свойства артефакта,Proprietà dell'Artefatto,神器屬性,神器词条,유물 속성,Właściwości Artefaktu,Властивості артефакту,Artefacteigenschappen,Eser Özellikleri
L_COD_REALMS,,Realms,レルム,Reiche,Royaumes,Reinos,Reinos,Миры,Regni,領域,领域,영역,Krainy,Світи,Rijken,Diyarlar
L_COD_GODS,,Gods,神々,Götter,Dieux,Dioses,Deuses,Боги,Dei,神明,神明,신들,Bogowie,Боги,Goden,Tanrılar
L_COD_MACROS,,Macros,マクロ,Makros,Macros,Macros,Macros,Макросы,Macro,巨集,宏,매크로,Makra,Макроси,Macro's,Makrolar
L_COD_SPELLGEMS,,Spell Gems,スペルジェム,Zaubersteine,Gemmes de sort,Gemas de Hechizo,Gemas de Feitiço,Самоцветы заклинаний,Gemme Incantesimo,法術寶石,法术宝石,주문 보석,Klejnoty Zaklęć,Самоцвіти заклинань,Toversteen,Büyü Taşları
L_COD_CASTLE,,Castle,城,Schloss,Château,Castillo,Castelo,Замок,Castello,城堡,城堡,성,Zamek,Замок,Kasteel,Kale
L_COD_ITEMS,,Items,アイテム,Gegenstände,Objets,Objetos,Itens,Предметы,Oggetti,物品,物品,아이템,Przedmioty,Предмети,Voorwerpen,Eşyalar
L_COD_REALMPROPERTIES,,Realm Properties,領域の特性,Reichseigenschaften,Propriétés du Royaume,Propiedades del Reino,Propriedades do Reino,Свойства Мира,Proprietà del Reame,領域屬性,领域词条,영역 속성,Właściwości Krainy,Властивості Світу,Rijkeigenschappen,Diyar Özellikleri
L_COD_COMBAT,,Combat,戦闘,Kampf,Combat,Combate,Combate,Бой,Combattimento,戰鬥,战斗,전투,Walka,Бій,Gevecht,Savaş
L_COD_CHARACTER,,Character,キャラクター,Charakter,Personnage,Personaje,Personagem,Персонаж,Personaggio,角色,角色,캐릭터,Postać,Персонаж,Personage,Karakter
L_COD_CREATURES,,Creatures,生物,Kreaturen,Créatures,Criaturas,Criaturas,Существа,Creature,生物,生物,생물,Stworzenia,Істоти,Wezens,Yaratıklar
L_COD_RELICS,,Relics,レリック,Relikte,Reliques,Reliquias,Relíquias,Реликвии,Reliquie,遺物,圣物,유물,Relikwie,Реліквії,Relikwieën,Kalıntılar
L_COD_SPELLGEMPROPERTIES,,Spell Gem Properties,スペルジェムの特性,Zauberstein-Eigenschaften,Propriétés des Gemmes de Sort,Propiedades de la Gema de Hechizo,Propriedades da Gema de Feitiço,Свойства Самоцвета Заклинаний,Proprietà della Gemma Incantesimo,法術寶石屬性,法术宝石词条,주문 보석 속성,Właściwości Klejnotu Zaklęcia,Властивості Самоцвіту Заклинань,Eigenschappen van Spreuksteen,Büyü Taşı Özellikleri
L_COD_SPELLS,,Spells,魔法,Zauber,Sorts,Hechizos,Magias,Заклинания,Incantesimi,法術,法术,주문,Zaklęcia,Закляття,Spreuken,Büyüler
L_COD_TRAITS,,Traits,特性,Merkmale,Traits,Rasgos,Características,Черты,Tratti,特質,特性,특성,Cechy,Риси,Eigenschappen,Özellikler
L_COD_NETHERBOSSES,,Nether Bosses,ネザーボス,Nether-Bosse,Bosses du Néant,Jefes del Inframundo,Chefes do Nether,Боссы Нижнего мира,Boss degli Inferi,冥界首領,下界首领,네더 보스,Bossowie Netheru,Босси Незеру,Nether Bazen,Nether Patronları
L_COD_SKINS,,Skins,スキン,Skins,Skins,Aspectos,Skins,Скины,Skin,外觀,皮肤,스킨,Skórki,Скіни,Skins,Kaplamalar
L_COD_RODIANCREATUREMASTERS,,Rodian Creature Masters,ロディアン・クリーチャーマスター,Rodianische Kreaturenmeister,Maîtres des Créatures Rodiens,Maestros de Criaturas Rodianos,Mestres de Criaturas Rodianos,Родианские Повелители Существ,Maestri delle Creature Rodiani,羅迪亞生物馴師,罗迪亚生物大师,로디안 생물 조련사,Mistrzowie Stworzeń Rodiańskich,Родіанські Повелителі Істот,Rodische Wezenmeesters,Rodian Yaratık Ustaları
L_COD_GATEOFTHEGODS,,Gate of the Gods,神々の門,Tor der Götter,Porte des Dieux,Puerta de los Dioses,Portão dos Deuses,Врата Богов,Porta degli Dei,神之門,众神之门,신들의 문,Brama Bogów,Брама Богів,Poort van de Goden,Tanrıların Kapısı
L_COD_GUILDSANDFALSEGODS,,Guilds and False Gods,ギルドと偽りの神々,Gilden und Falsche Götter,Guildes et Faux Dieux,Gremios y Falsos Dioses,Guildas e Falsos Deuses,Гильдии и Ложные Боги,Gilde e Falsi Dei,公會與偽神,公会与伪神,길드와 거짓 신들,Gildie i Fałszywi Bogowie,Гільдії та Фальшиві Боги,Gilden en Valse Goden,Loncalar ve Sahte Tanrılar
L_CODT_ARTIFACTS_INTRODUCTION,,Introduction,はじめに,Einführung,Introduction,Introducción,Introdução,Введение,Introduzione,介紹,简介,소개,Wprowadzenie,Вступ,Introductie,Giriş
L_CODT_ARTIFACTS_CRAFTING,,Crafting,クラフト,Handwerk,Artisanat,Fabricación,Criação,Создание предметов,Fabbricazione,製作,制作,제작,Rzemiosło,Ремесло,Ambachtelijk maken,Zanaat
L_CODT_ARTIFACTS_UPGRADING,,Upgrading,アップグレード,Verbessern,Amélioration,Mejorando,Aprimorando,Улучшение,Potenziamento,升級,升阶,업그레이드,Ulepszanie,Вдосконалення,Upgraderen,Yükseltme
L_CODT_ARTIFACTS_SOCKETING,,Socketing,ソケット装着,Einsetzen,Sertissage,Encastado,Encaixe,Инкрустация,Incassatura,鑲嵌,镶嵌,소켓 장착,Osadzanie,Вставка,Inzetten,Soketleme
L_CODT_ARTIFACTS_STAT_SLOTS,,Stat Slots,ステータススロット,Attributslots,Emplacements de stats,Ranuras de Estadísticas,Espaços de Atributos,Слоты характеристик,Slot Statistiche,能力值欄位,属性值槽,스탯 슬롯,Miejsca na Statystyki,Слоти характеристик,Statistiekslots,İstatistik Yuvaları
L_CODT_ARTIFACTS_TRICK_SLOTS,,Trick Slots,トリックスロット,Trick-Slots,Emplacements de Ruse,Espacios de Trucos,Espaços de Truques,Слоты Трюков,Slot Trucco,詭計槽,技巧槽,트릭 슬롯,Sloty Sztuczek,Слоти Трюків,Trucslots,Hile Yuvaları
L_CODT_ARTIFACTS_TRAIT_SLOTS,,Trait Slots,特性スロット,Merkmalsplätze,Emplacements de Traits,Espacios de Rasgo,Espaços de Traços,Ячейки черт,Slot Caratteristiche,特質欄位,特性槽,특성 슬롯,Miejsca na Cechy,Слоти Рис,Eigenschap Sloten,Özellik Yuvaları
L_CODT_ARTIFACTS_SPELL_SLOTS,,Spell Slots,スペルスロット,Zauberplätze,Emplacements de sorts,Espacios de Hechizos,Espaços de Magia,Ячейки заклинаний,Slot Incantesimi,法術位,法术槽,주문 슬롯,Miejsca na Czary,Комірки заклинань,Spreukvakken,Büyü Yuvaları
L_CODT_ARTIFACTS_NETHER_SLOTS,,Nether Slots,ネザースロット,Nether-Slots,Emplacements du Néant,Tragamonedas del Inframundo,Espaços do Nether,Слоты Пустоты,Slot Inferi,冥界老虎機,下界石槽,네더 슬롯,Sloty Netheru,Потойбічні Слоти,Nether Sleuven,Öte Dünya Yuvaları
L_CODT_ARTIFACTS_UNSOCKETING,,Unsocketing,ソケット解除,Herauslösen,Désertissage,Desengarzado,Desencaixamento,Распечатывание,Disincastonamento,拆卸寶石,拆卸,소켓 해제,Wyjmowanie,Розсокетування,Ontzetting,Çıkarma
L_CODT_ARTIFACTS_BRANDING,,Branding,ブランディング,Brandzeichen,Marquage,Marca,Marca,Клеймение,Marchio,烙印,铭刻,브랜딩,Oznakowanie,Клеймування,Brandmerken,Markalama
L_CODT_REALMS_INTRODUCTION,,Introduction,はじめに,Einführung,Introduction,Introducción,Introdução,Введение,Introduzione,介紹,简介,소개,Wprowadzenie,Вступ,Introductie,Giriş
L_CODT_REALMS_REALM_QUESTS,,Realm Quests,レルムクエスト,Reichsquests,Quêtes du Royaume,Misiones del Reino,Missões do Reino,Задания Королевства,Missioni del Reame,領域任務,领域任务,영역 퀘스트,Zadania Krainy,Завдання Королівства,Rijksopdrachten,Diyar Görevleri
L_CODT_REALMS_REALM_DEPTH,,Realm Depth,領域の深度,Reichstiefe,Profondeur du Royaume,Profundidad del Reino,Profundidade do Reino,Глубина Мира,Profondità del Regno,領域深度,领域深度,영역 깊이,Głębokość Krainy,Глибина Світу,Rijkdiepte,Diyar Derinliği
L_CODT_REALMS_REALM_PROPERTIES,,Realm Properties,領域の特性,Reichseigenschaften,Propriétés du Royaume,Propiedades del Reino,Propriedades do Reino,Свойства Мира,Proprietà del Reame,領域屬性,领域词条,영역 속성,Właściwości Krainy,Властивості Світу,Rijkeigenschappen,Diyar Özellikleri
