action_token,file,row,english_count,german_count,english,german
{ACTION_provoking},cards.csv,41,1,1,Your creatures have 10% more {STAT_speed} while they're {ACTION_provoking}.,"Deine Kreaturen haben 10% mehr {STAT_speed}, während sie {ACTION_provoking} sind."
{ACTION_provoking},cards.csv,42,1,1,Your creatures have 10% more {STAT_speed} while they're {ACTION_provoking}.,"Deine Kreaturen haben 10% mehr {STAT_speed}, während sie {ACTION_provoking} sind."
{ACTION_provoking},cards.csv,43,1,1,Your creatures have 10% more {STAT_speed} while they're {ACTION_provoking}.,"Deine Kreaturen haben 10% mehr {STAT_speed}, während sie {ACTION_provoking} sind."
{ACTION_attack},cards.csv,89,1,1,Enemies that are {CONDNAME_DEBUFF_CONFUSED} have a 10% greater chance to {ACTION_attack} their allies.,"Gegner, die {CONDNAME_DEBUFF_CONFUSED} sind, haben eine 10% höhere Chance, ihre Verbündeten zu {ACTION_attack}."
{ACTION_cast},cards.csv,90,1,1,Enemies that are {CONDNAME_DEBUFF_CONFUSED} have a 10% greater chance to {ACTION_cast} harmful spells on their allies.,"Feinde, die {CONDNAME_DEBUFF_CONFUSED} sind, haben eine 10% höhere Chance, schädliche Zauber auf ihre Verbündeten zu {ACTION_cast}."
{ACTION_provoking},cards.csv,95,1,1,Your creatures take 10% less damage while they're {ACTION_provoking}.,"Deine Kreaturen erleiden 10% weniger Schaden, während sie {ACTION_provoking} sind."
{ACTION_provoking},cards.csv,96,1,1,Your creatures take 10% less damage while they're {ACTION_provoking}.,"Deine Kreaturen erleiden 10% weniger Schaden, während sie {ACTION_provoking} sind."
{ACTION_provoking},cards.csv,97,1,1,Your creatures take 10% less damage while they're {ACTION_provoking}.,"Deine Kreaturen erleiden 10% weniger Schaden, während sie {ACTION_provoking} sind."
{ACTION_provoke},cards.csv,118,1,1,Your creatures with {CONDNAME_BUFF_TAUNT} have a 15% chance for effects that occur after they {ACTION_provoke} to occur an additional time.,"Deine Kreaturen mit {CONDNAME_BUFF_TAUNT} haben eine 15% Chance, dass Effekte, die auftreten, nachdem sie {ACTION_provoke}, ein zusätzliches Mal auftreten."
{ACTION_attack},cards.csv,152,1,1,Your creatures have a 5% chance to {ACTION_attack} an additional time.,"Deine Kreaturen haben eine 5% Chance, ein zusätzliches Mal zu {ACTION_attack}."
{ACTION_cast},cards.csv,153,1,1,Your creatures have a 5% chance to {ACTION_cast} spells an additional time.,"Deine Kreaturen haben eine 5% Chance, Zauber ein zusätzliches Mal zu {ACTION_cast}."
{ACTION_defending},cards.csv,158,1,1,Your creatures have 10% more {STAT_speed} while they're {ACTION_defending}.,"Deine Kreaturen haben 10% mehr {STAT_speed}, während sie {ACTION_defending}."
{ACTION_defending},cards.csv,159,1,1,Your creatures have 10% more {STAT_speed} while they're {ACTION_defending}.,"Deine Kreaturen haben 10% mehr {STAT_speed}, während sie {ACTION_defending}."
{ACTION_defending},cards.csv,160,1,1,Your creatures have 10% more {STAT_speed} while they're {ACTION_defending}.,"Deine Kreaturen haben 10% mehr {STAT_speed}, während sie {ACTION_defending}."
{ACTION_provoking},cards.csv,164,1,1,Your creatures have 10% more {STAT_defense} while they're {ACTION_provoking}.,"Deine Kreaturen haben 10% mehr {STAT_defense}, während sie {ACTION_provoking} sind."
{ACTION_provoking},cards.csv,165,1,1,Your creatures have 10% more {STAT_defense} while they're {ACTION_provoking}.,"Deine Kreaturen haben 10% mehr {STAT_defense}, während sie {ACTION_provoking} sind."
{ACTION_provoking},cards.csv,166,1,1,Your creatures have 10% more {STAT_defense} while they're {ACTION_provoking}.,"Deine Kreaturen haben 10% mehr {STAT_defense}, während sie {ACTION_provoking} sind."
{ACTION_defending},cards.csv,167,1,1,Your creatures have 10% more {STAT_defense} while they're {ACTION_defending}.,"Deine Kreaturen haben 10% mehr {STAT_defense}, während sie {ACTION_defending}."
{ACTION_defending},cards.csv,168,1,1,Your creatures have 10% more {STAT_defense} while they're {ACTION_defending}.,"Deine Kreaturen haben 10% mehr {STAT_defense}, während sie {ACTION_defending}."
{ACTION_defending},cards.csv,169,1,1,Your creatures have 10% more {STAT_defense} while they're {ACTION_defending}.,"Deine Kreaturen haben 10% mehr {STAT_defense}, während sie {ACTION_defending}."
{ACTION_attack},cards.csv,173,1,1,Your creatures have a 5% chance to {ACTION_attack} an additional time.,"Deine Kreaturen haben eine 5% Chance, ein zusätzliches Mal zu {ACTION_attack}."
{ACTION_cast},cards.csv,174,1,1,Your creatures have a 5% chance to {ACTION_cast} spells an additional time.,"Deine Kreaturen haben eine 5% Chance, Zauber ein zusätzliches Mal zu {ACTION_cast}."
{ACTION_attack},cards.csv,246,1,1,Your creatures have a 10% chance to not lose their {CONDNAME_BUFF_INVISIBLE} buff after they {ACTION_attack} or {ACTION_cast} spells.,"Deine Kreaturen haben eine 10% Chance, ihren {CONDNAME_BUFF_INVISIBLE} Buff nicht zu verlieren, nachdem sie {ACTION_attack} oder {ACTION_cast} Zauber wirken."
{ACTION_cast},cards.csv,246,1,1,Your creatures have a 10% chance to not lose their {CONDNAME_BUFF_INVISIBLE} buff after they {ACTION_attack} or {ACTION_cast} spells.,"Deine Kreaturen haben eine 10% Chance, ihren {CONDNAME_BUFF_INVISIBLE} Buff nicht zu verlieren, nachdem sie {ACTION_attack} oder {ACTION_cast} Zauber wirken."
{ACTION_cast},cards.csv,310,1,1,Your creatures' Spell Gems don't lose {STAT_charges} when they're {ACTION_cast} at the start of battle.,"Deine Kreaturen verlieren keine {STAT_charges}, wenn ihre Zaubersteine zu Beginn des Kampfes {ACTION_cast} werden."
