file,line,english,german
accessories.csv,24,Buffalo Horn,Büffelhorn
achievements.csv,622,Buffer I,Puffer I
achievements.csv,623,Buff creatures 100 times.,Verstärke Kreaturen 100 Mal.
achievements.csv,624,Buffer II,Puffer II
achievements.csv,625,Buff creatures 250 times.,Verstärke Kreaturen 250 Mal.
achievements.csv,626,Buffer III,Puffer III
achievements.csv,627,Buff creatures 500 times.,Verstärke Kreaturen 500 Mal.
achievements.csv,628,Buffer IV,Puffer IV
achievements.csv,629,"Buff creatures 1,000 times.",Verstärke Kreaturen 1.000 Mal.
achievements.csv,630,Buffer V,Puffer V
achievements.csv,631,"Buff creatures 2,500 times.",Verstärke Kreaturen 2.500 Mal.
achievements.csv,632,Buffer VI,Puffer VI
achievements.csv,633,"Buff creatures 5,000 times.",Verstärke Kreaturen 5.000 Mal.
achievements.csv,634,Buffer VII,Puffer VII
achievements.csv,635,"Buff creatures 10,000 times.",Kreaturen 10.000 Mal verstärken.
achievements.csv,636,Buffer VIII,Puffer VIII
achievements.csv,637,"Buff creatures 25,000 times.",Verstärke Kreaturen 25.000 Mal.
achievements.csv,638,Buffer IX,Puffer IX
achievements.csv,639,"Buff creatures 50,000 times.",Verstärke Kreaturen 50.000 Mal.
achievements.csv,640,Buffer X,Puffer X
achievements.csv,641,"Buff creatures 100,000 times.",Verstärke Kreaturen 100.000 Mal.
achievements.csv,642,Debuffer I,Schwächer I
achievements.csv,643,Debuff creatures 100 times.,Schwäche Kreaturen 100 Mal.
achievements.csv,644,Debuffer II,Schwächer II
achievements.csv,645,Debuff creatures 250 times.,Schwäche Kreaturen 250 Mal.
achievements.csv,646,Debuffer III,Schwächer III
achievements.csv,647,Debuff creatures 500 times.,Schwäche Kreaturen 500 Mal.
achievements.csv,648,Debuffer IV,Schwächer IV
achievements.csv,649,"Debuff creatures 1,000 times.",Schwäche Kreaturen 1.000 Mal.
achievements.csv,650,Debuffer V,Schwächer V
achievements.csv,651,"Debuff creatures 2,500 times.",Schwäche Kreaturen 2.500 Mal.
achievements.csv,652,Debuffer VI,Schwächer VI
achievements.csv,653,"Debuff creatures 5,000 times.",Schwäche Kreaturen 5.000 Mal.
achievements.csv,655,"Debuff creatures 10,000 times.",Schwäche Kreaturen 10.000 Mal.
achievements.csv,656,Debuffer VIII,Schwächer VIII
achievements.csv,657,"Debuff creatures 25,000 times.",Schwäche Kreaturen 25.000 Mal.
achievements.csv,658,Debuffer IX,Schwächer IX
achievements.csv,659,"Debuff creatures 50,000 times.",Schwäche Kreaturen 50.000 Mal.
achievements.csv,660,Debuffer X,Schwächer X
achievements.csv,661,"Debuff creatures 100,000 times.",Schwäche Kreaturen 100.000 Mal.
achievements.csv,1923,Gain 5 buffs in the overworld.,Erhalte 5 Verstärkungen in der Oberwelt.
achievements.csv,1925,Gain 10 buffs in the overworld.,Erhalte 10 Verstärkungen in der Oberwelt.
achievements.csv,1931,Gain 75 buffs in the overworld.,Erhalte 75 Verstärkungen in der Oberwelt.
achievements.csv,1945,Afflict enemies with 10 debuffs in the overworld.,Füge Feinden 10 Schwächungen in der Oberwelt zu.
achievements.csv,1951,Afflict enemies with 75 debuffs in the overworld.,Füge Gegnern in der Oberwelt 75 Schwächungen zu.
achievements.csv,1955,Afflict enemies with 250 debuffs in the overworld.,Füge Gegnern in der Oberwelt 250 Schwächungen zu.
achievements.csv,1959,Afflict enemies with 750 debuffs in the overworld.,Füge Gegnern in der Oberwelt 750 Schwächungen zu.
battle.csv,56,Enemies start with 5 buffs.,Gegner beginnen mit 5 Verstärkungen.
battle.csv,65,Your creatures start with 3 debuffs.,Deine Kreaturen beginnen mit 3 Schwächungen.
battle.csv,123,Buffs/Debuffs/Minions\nRemoved,Stärkungen/Schwächungen/Diener\nEntfernt
battle.csv,193,{1} buffed: {2},{1} verstärkt: {2}
battle.csv,195,{1} debuffed: {2},{1} geschwächt: {2}
battle.csv,236,{1} has already received too many buffs this turn.,{1} hat in dieser Runde bereits zu viele Verstärkungen erhalten.
bosses.csv,301,"Do you MIND?! You're enturbulating the inverse negative transflux flow of the local coalescent arcanospheric manifold, you utter buffoon!","Hast du sie nicht ALLE?! Du störst den inversen negativen Transfluxfluss des lokalen kohärenten arkansphärischen Manifolds, du völliger Schwachkopf!"
cards.csv,392,Your creatures have a 3% chance to ignore incoming debuffs.,"Deine Kreaturen haben eine 3% Chance, eingehende Schwächungen zu ignorieren."
