row,tag,english,german
10,L_CLUTCHER,Clutcher,Greifer
29,L_BANSHEE,Banshee,Banshee
35,L_LEECH,Leech,Aussauger
44,L_REVENANT,Revenant,Wiedergänger
99,L_DJINN,Djinn,Djinn
100,L_DRAGON,Dragon,Drache
101,L_EFREET,Efreet,Efreet
102,L_FAMILIAR,Familiar,Vertraut
130,L_MIMIC,Mimic,Mimik
165,L_UNDERDWELLER,Underdweller,Unterirdischer
219,L_CRIT_NECROTICCLUTCHER,Necrotic Clutcher,Nekrotischer Greifer
220,L_CRIT_VITALCLUTCHER,Vital Clutcher,Vitaler Greifer
221,L_CRIT_FLAMEGRIPCLUTCHER,Flamegrip Clutcher,Flammengriffsklammer
222,L_CRIT_ETHEREALCLUTCHER,Ethereal Clutcher,Ätherischer Greifer
223,L_CRIT_VENOMOUSCLUTCHER,Venomous Clutcher,Giftiger Greifer
224,L_CRIT_DOOMCLUTCHER,Doom Clutcher,Unheilsgreifer
231,L_CRIT_MIMIC,Mimic,Mimik
232,L_CRIT_DJINNPYROMANCER,Djinn Pyromancer,Djinn-Pyromant
233,L_CRIT_DJINNDREAMWEAVER,Djinn Dreamweaver,Djinn Traumweber
234,L_CRIT_DJINNILLUSIONIST,Djinn Illusionist,Djinn-Illusionist
235,L_CRIT_DJINNEVOKER,Djinn Evoker,Dschinn-Beschwörer
236,L_CRIT_DJINNARCANOMANCER,Djinn Arcanomancer,Djinn-Arkanomant
237,L_CRIT_DJINNGHULA,Djinn Ghula,Djinn Ghula
280,L_CRIT_WILDFIREEFREET,Wildfire Efreet,Wildfeuer-Ifrit
281,L_CRIT_VOLCANICEFREET,Volcanic Efreet,Vulkanischer Ifrit
282,L_CRIT_FROSTFIREEFREET,Frostfire Efreet,Frostfeuer-Ifrit
283,L_CRIT_OBSIDIANEFREET,Obsidian Efreet,Obsidian-Ifrit
284,L_CRIT_DREADFULEFREET,Dreadful Efreet,Schrecklicher Ifrit
285,L_CRIT_ASHBONEEFREET,Ashbone Efreet,Aschenknochen-Ifrit
306,L_CRIT_DRAGONSOLDIER,Dragon Soldier,Drachensoldat
307,L_CRIT_DRAGONSENTINEL,Dragon Sentinel,Drachenwächter
308,L_CRIT_DRAGONGUARDIAN,Dragon Guardian,Drachenwächter
309,L_CRIT_DRAGONREVENANT,Dragon Revenant,Drachen-Wiedergänger
310,L_CRIT_DRAGONQUEEN,Dragon Queen,Drachenkönigin
311,L_CRIT_DRAGONSCOUT,Dragon Scout,Drachenkundschafter
414,L_CRIT_ABYSSBANSHEE,Abyss Banshee,Abgrund-Banshee
415,L_CRIT_SAVAGEBANSHEE,Savage Banshee,Wilde Todesfee
416,L_CRIT_VALENTINEBANSHEE,Valentine Banshee,Valentins-Banshee
417,L_CRIT_ANGUISHBANSHEE,Anguish Banshee,Qualbanshee
418,L_CRIT_IMPALERBANSHEE,Impaler Banshee,Pfähler-Todesfee
419,L_CRIT_STYXBANSHEE,Styx Banshee,Styx Banshee
