file,line,english,german
achievements.csv,3235,Max out all of a specialization's perks.,Schalte alle Vorteile einer Spezialisierung vollständig frei.
achievements.csv,3281,Max out one of your specialization's perks.,Maximiere einen der Vorteile deiner Spezialisierung.
battle.csv,148,Perk Gained:\n{1},Vorteil erhalten:\n{1}
codex.csv,144,"When you enter a new Realm, you will be assigned a randomly generated Realm Quest. These are small, bite-sized quests that you must complete in that same Realm before you can move on to the next one.\n\nAfter you complete a Realm Quest, you'll receive some rewards, and then you can find the Teleportation Shrine to travel to a new Realm. Completing Realm Quests is the only way to earn Perk Points for your specialization.","Wenn du ein neues Reich betrittst, wird dir eine zufällig generierte Reichsquest zugewiesen. Dies sind kleine, leicht verdauliche Quests, die du in demselben Reich abschließen musst, bevor du zum nächsten weitergehen kannst.\n\nNachdem du eine Reichsquest abgeschlossen hast, erhältst du einige Belohnungen und kannst dann den Teleportationsschrein finden, um zu einem neuen Reich zu reisen. Das Abschließen von Reichsquests ist die einzige Möglichkeit, Fertigkeitspunkte für deine Spezialisierung zu verdienen."
codex.csv,160,"Spell Gems are items that can be equipped to your creatures in order to allow them to cast a spell in battle.\n\nBy default, creatures can equip up to 3 Spell Gems at a time, and no more than one of the same spell can be equipped at once. In addition, creatures can only cast Spell Gems that belong to their own class. However, all of these limits can be changed or removed with the help of certain Spell Gem properties, creature traits, specialization perks, and more. At most, a creature can have 18 Spell Gems equipped with the help of these bonuses.\n\nSpell Gems have a certain number of {STAT_charges}. Each time the Spell Gem is used, it loses 1 {STAT_charge}, and if the Spell Gem runs out of {STAT_charges}, that gem cannot be used again until they are restored. Spell Gems regenerate all their {STAT_charges} at the start of each Realm.","Zaubersteine sind Gegenstände, die an deine Kreaturen ausgerüstet werden können, um ihnen das Wirken von Zaubern im Kampf zu ermöglichen.\n\nStandardmäßig können Kreaturen bis zu 3 Zaubersteine gleichzeitig ausrüsten, und es kann nicht mehr als ein Edelstein desselben Zaubers auf einmal ausgerüstet werden. Außerdem können Kreaturen nur Zaubersteine wirken, die zu ihrer eigenen Klasse gehören. All diese Beschränkungen können jedoch mit Hilfe bestimmter Zauberstein-Merkmale, Kreaturenmerkmale, Spezialisierungsvorteile und mehr geändert oder aufgehoben werden. Maximal kann eine Kreatur mit Hilfe dieser Boni 18 Zaubersteine ausgerüstet haben.\n\nZaubersteine haben eine bestimmte Anzahl an {STAT_charges}. Jedes Mal, wenn der Zauberstein verwendet wird, verliert er 1 {STAT_charge}, und wenn dem Zauberstein die {STAT_charges} ausgehen, kann dieser Edelstein nicht mehr verwendet werden, bis sie wiederhergestellt sind. Zaubersteine regenerieren alle ihre {STAT_charges} zu Beginn jedes Reiches."
codex.csv,190,"Several traits, perks, and other effects activate at the start of battle. These effects are executed in the following order:\n\n1) Traits are granted, then shared with other creatures if applicable.\n2) Classes and races are changed.\n3) Spell Gems are granted.\n4) Buffs, debuffs, and minions are granted.\n5) Stats are increased.\n6) Stats are decreased.\n7) The battle starts.\n8) Creatures attack.\n9) Creatures cast spells.\n\nNote that the battle only truly starts at #6. This means that, for example, on-buff effects won't activate at the start of battle.","Mehrere Merkmale, Vorteile und andere Effekte werden zu Beginn des Kampfes aktiviert. Diese Effekte werden in der folgenden Reihenfolge ausgeführt:\n\n1) Merkmale werden gewährt und dann mit anderen Kreaturen geteilt, falls zutreffend.\n2) Klassen und Rassen werden geändert.\n3) Zaubersteine werden gewährt.\n4) Buffs, Debuffs und Diener werden gewährt.\n5) Werte werden erhöht.\n6) Werte werden verringert.\n7) Der Kampf beginnt.\n8) Kreaturen greifen an.\n9) Kreaturen wirken Zauber.\n\nBeachte, dass der Kampf erst bei #6 wirklich beginnt. Das bedeutet zum Beispiel, dass Buff-Effekte nicht zu Beginn des Kampfes aktiviert werden."
codex.csv,194,"While your character does not fight directly in battle, it supports your creatures with its specialization perks, cards, knowledge, and much more.\n\nThis guide will explain how you can customize your character, as well as unlock new benefits to aid your creatures in battle.","Obwohl dein Charakter nicht direkt im Kampf kämpft, unterstützt er deine Kreaturen mit seinen Spezialisierungsvorteilen, Karten, Wissen und vielem mehr.\n\nDieser Leitfaden erklärt, wie du deinen Charakter anpassen und neue Vorteile freischalten kannst, um deine Kreaturen im Kampf zu unterstützen."
codex.csv,195,"At the start of the game, you chose one of 15 different specializations. Each specialization offers several perks that change the way your creatures fight in battle. After you gain the ability to take on Projects, you can unlock all the other specializations in the game and switch to them at any time at the Enchanted Wardrobe.\n\nIn order to unlock and upgrade your perks, you must earn Perk Points by completing Realm Quests at the highest Realm Depth you've ever visited.","Zu Beginn des Spiels wählst du eine von 15 verschiedenen Spezialisierungen. Jede Spezialisierung bietet mehrere Vorteile, die die Kampfweise deiner Kreaturen verändern. Nachdem du die Fähigkeit erlangt hast, Projekte zu übernehmen, kannst du alle anderen Spezialisierungen im Spiel freischalten und jederzeit am Verzauberten Kleiderschrank zwischen ihnen wechseln.\n\nUm deine Vorteile freizuschalten und zu verbessern, musst du Vorteilspunkte verdienen, indem du Reichquests in der höchsten Reichtiefe abschließt, die du je besucht hast."
codex.csv,220,"Each god has a corresponding Relic for you to unlock. Relics can be upgraded with Piety. As a Relic's rank increases, it will confer a stronger stat bonus to the creature it is attuned to. In addition, every 10 ranks (up to rank 100) grant the attuned creature an additional perk. You can continue to upgrade a Relic past rank 100, but only its stat bonus will increase.","Jeder Gott besitzt eine entsprechende Reliquie, die du freischalten kannst. Reliquien können mit Frömmigkeit aufgewertet werden. Mit steigendem Rang gewährt eine Reliquie der auf sie abgestimmten Kreatur einen stärkeren Attributsbonus. Zusätzlich erhält die abgestimmte Kreatur alle 10 Ränge (bis Rang 100) einen zusätzlichen Vorteil. Du kannst eine Reliquie über Rang 100 hinaus aufwerten, danach erhöht sich jedoch nur noch ihr Attributsbonus."
codex.csv,231,"If you defeat the god of each Realm (30 in total) at Difficulty 10 or higher with the same specialization, you will Ascend in that specialization. Ascension unlocks an exclusive creature skin, a decoration, and a unique perk.\n\nYou can see which gods you've defeated at Difficulty 10 or higher with your current specialization by viewing the Gate of the Gods menu. A yellow star will appear next to the gods you've defeated.","Wenn du den Gott jedes Reiches (insgesamt 30) auf Schwierigkeitsstufe 10 oder höher mit derselben Spezialisierung besiegst, wirst du in dieser Spezialisierung Aufsteigen. Der Aufstieg schaltet ein exklusives Kreatur-Aussehen, eine Dekoration und einen einzigartigen Vorteil frei.\n\nDu kannst sehen, welche Götter du auf Schwierigkeitsstufe 10 oder höher mit deiner aktuellen Spezialisierung besiegt hast, indem du das Tor-der-Götter-Menü betrachtest. Ein gelber Stern erscheint neben den Göttern, die du besiegt hast."
codex.csv,235,"After you defeat a False God, you'll be able to choose from several different Anointments to keep. Anointments allow you to utilize perks from other specializations even if your character is of a different specialization. You can have up to 5 Anointments equipped at a time.\n\nNormally, False Gods will drop 3 Anointments and you can choose to keep one of them. However, if you use Runes that increase the False God's power, you will be rewarded with a larger pool of Anointments to choose from.\n\nSome specializations' perks do not have Anointments associated with them.","Nachdem du einen Falschen Gott besiegst, kannst du aus verschiedenen Salbungen wählen, die du behalten möchtest. Salbungen erlauben dir, Vorteile anderer Spezialisierungen zu nutzen, selbst wenn dein Charakter eine andere Spezialisierung hat. Du kannst bis zu 5 Salbungen gleichzeitig ausgerüstet haben.\n\nNormalerweise lassen Falsche Götter 3 Salbungen fallen, von denen du eine behalten kannst. Wenn du jedoch Runen verwendest, die die Macht des Falschen Gottes erhöhen, wirst du mit einer größeren Auswahl an Salbungen belohnt.\n\nEinige Vorteile von Spezialisierungen haben keine zugehörigen Salbungen."
dialog.csv,175,Congratulations! You have Ascended your {1} specialization!\n\nYou now have access to a powerful new perk as well as an exclusive decoration and creature skin.,Glückwunsch! Du hast deine {1}-Spezialisierung aufgestiegen!\n\nDu hast jetzt Zugang zu einem mächtigen neuen Vorteil sowie einer exklusiven Dekoration und einem Kreatur-Skin.
items.csv,1863,Perk Point,Fertigkeitspunkt
