file,line,english,german
achievements.csv,2203,Obtain 1 Trait Material.,Erhalte 1 Merkmalsmaterial.
achievements.csv,2205,Obtain 5 Trait Materials.,Erhalte 5 Merkmalsmaterialien.
achievements.csv,2207,Obtain 10 Trait Materials.,Sammle 10 Merkmalsmaterialien.
achievements.csv,2209,Obtain 20 Trait Materials.,Sammle 20 Merkmalsmaterialien.
achievements.csv,2211,Obtain 50 Trait Materials.,Sammle 50 Merkmalsmaterialien.
achievements.csv,2213,Obtain 100 Trait Materials.,Erhalte 100 Merkmalsmaterialien.
achievements.csv,2215,Obtain 250 Trait Materials.,Erhalte 250 Merkmalsmaterialien.
achievements.csv,2217,Obtain 500 Trait Materials.,Sammle 500 Merkmalsmaterialien.
achievements.csv,2219,"Obtain 1,000 Trait Materials.",Sammle 1.000 Merkmalsmaterialien.
achievements.csv,2221,"Obtain 2,500 Trait Materials.",Erhalte 2.500 Merkmalsmaterialien.
achievements.csv,3267,Socket one of your Artifacts with a Trait Material.,Bestücke eines deiner Artefakte mit einem Merkmalsmaterial.
codex.csv,30,Trait Slots,Merkmalsplätze
codex.csv,175,"Artifact Materials can be socketed into your Artifacts to grant them new bonuses. There are three types of Artifact Materials: Stat Materials, Trick Materials, and Trait Materials. Each type of material must be socketed into the correct, corresponding slot on an Artifact. For example, Stat Materials can be socketed into Stat Slots, but not into Trick Slots.","Artefaktmaterialien können in deine Artefakte eingesetzt werden, um ihnen neue Boni zu verleihen. Es gibt drei Arten von Artefaktmaterialien: Attributsmaterialien, Trickmaterialien und Merkmalsmaterialien. Jede Art von Material muss in den richtigen, entsprechenden Slot eines Artefakts eingesetzt werden. Zum Beispiel können Attributsmaterialien in Attributsplätze eingesetzt werden, aber nicht in Trickslots."
codex.csv,327,Trait Slots,Merkmalsplätze
codex.csv,332,Material: Trait Materials,Material: Merkmalsmaterialien
dialog.csv,144,It seems the leader dropped a Trait Material!,"Es scheint, der Anführer hat ein Merkmalsmaterial fallen gelassen!"
items.csv,1450,Trait Launcher,Merkmalswerfer
lore.csv,548,"Bards long for the sounds of their ""voice"" to reach as many people as possible. However, the effects of their music and their apparent inability to stop their own mind-affecting traits have led many towns and cities to permanently ban these creatures.\n\nThe songs of the Bard Trovatore ridicule politicians, sometimes with very well-chosen words. Listening to them produces laughter, but also arouses feelings of rebellion against authority.","Barden sehnen sich danach, dass die Klänge ihrer ""Stimme"" so viele Menschen wie möglich erreichen. Allerdings haben die Auswirkungen ihrer Musik und ihre offensichtliche Unfähigkeit, ihre eigenen geistesbeeinflussenden Eigenschaften zu kontrollieren, dazu geführt, dass viele Städte und Gemeinden diese Wesen dauerhaft verbannt haben.\n\nDie Lieder des Barden Trovatore verspotten Politiker, manchmal mit sehr treffend gewählten Worten. Ihnen zuzuhören erzeugt Gelächter, weckt aber auch Gefühle der Rebellion gegen Autoritäten."
lore.csv,1293,"From the very beginning, Spacecats adapted quickly and carved out an important place in society in record time.\n\nThe ""Peculiar Spacecat"" is what the people of Siralim have named this creature due to the striking green hue of its fur. Centuries ago, they were slaves on their home planet, altered with a gene that made them glow in the dark, turning them into easy prey for predators to prevent their escape. Today, they no longer possess this trait.","Von Anfang an passten sich die Weltraumkatzen schnell an und eroberten in Rekordzeit einen wichtigen Platz in der Gesellschaft.\n\nDie ""Sonderbare Weltraumkatze"" ist der Name, den die Bewohner von Siralim diesem Wesen aufgrund des auffälligen grünen Schimmers seines Fells gegeben haben. Vor Jahrhunderten waren sie Sklaven auf ihrem Heimatplaneten, verändert durch ein Gen, das sie im Dunkeln leuchten ließ und sie zu leichter Beute für Raubtiere machte, um ihre Flucht zu verhindern. Heute besitzen sie diese Eigenschaft nicht mehr."
lore.csv,1318,"The Genetic Anomaly can store a vast array of objects and creatures within itself, slowly consuming them and absorbing the nutrients it can process. Preferring dark, damp environments like sewers, it is incredibly stealthy, allowing it to hunt without its prey ever knowing until it's too late. When its DNA merges with another creature's, it produces a substance capable of replicating some of their traits if consumed.","Die Genetische Anomalie kann eine große Vielfalt an Objekten und Kreaturen in sich speichern, wobei sie diese langsam verzehrt und die Nährstoffe absorbiert, die sie verarbeiten kann. Sie bevorzugt dunkle, feuchte Umgebungen wie Abwasserkanäle und ist unglaublich heimlich, was ihr ermöglicht zu jagen, ohne dass ihre Beute es bemerkt, bis es zu spät ist. Wenn ihre DNA mit der einer anderen Kreatur verschmilzt, produziert sie eine Substanz, die in der Lage ist, einige ihrer Eigenschaften zu replizieren, wenn sie konsumiert wird."
perks.csv,45,"At the start of battle, your Animatus gains a copy of your fifth creature's innate trait.",Zu Beginn des Kampfes erhält dein Animatus eine Kopie des angeborenen Merkmals deiner fünften Kreatur.
personality.csv,890,(It seems to be excessively confident in itself. Always a good trait to have in a creature.),(Es scheint übermäßig selbstsicher zu sein. Immer eine gute Eigenschaft für ein Wesen.)
projects.csv,53,Allows you to take on Assassination Missions. These are repeatable Projects that reward you with Trait Materials from the creature of your choice. You can only assassinate creatures that you have Rank S knowledge about.,"Ermöglicht es dir, Attentatsmissionen anzunehmen. Dies sind wiederholbare Projekte, die dich mit Merkmalsmaterialien der Kreatur deiner Wahl belohnen. Du kannst nur Kreaturen ermorden, über die du Wissen des Ranges S besitzt."
projects.csv,75,"After completing this Project, you will receive the Trait material of your choice. You can only assassinate creatures that you have Rank S knowledge about.","Nach Abschluss dieses Projekts erhältst du das Merkmalsmaterial deiner Wahl. Du kannst nur Kreaturen ermorden, über die du Rang-S-Wissen besitzt."
traits.csv,23,"This creature's attacks deal 75% more damage. After this creature {ACTION_attacks}, it gains a copy of the target's trait.","Diese Kreatur verursacht 75% mehr Schaden mit seinen Angriffen. Nachdem diese Kreatur {ACTION_attacks}, erhält es eine Kopie des Merkmals des Ziels."
traits.csv,317,"After this creature {ACTION_attacks} a creature with less than 35% {STAT_health}, it is killed, then this creature gives a copy of its trait to all your creatures.","Nachdem diese Kreatur eine Kreatur mit weniger als 35% {STAT_health} {ACTION_attacks}, wird diese getötet, dann gibt diese Kreatur eine Kopie ihres Merkmals an alle deine Kreaturen weiter."
traits.csv,1557,"When this creature {ACTION_attacks}, it has a 100% chance to attack an additional time. This trait's effect can repeat multiple times in a row, but the chance decreases by 25% after each {ACTION_attack}.","Wenn diese Kreatur {ACTION_attacks}, hat sie eine 100% Chance, ein weiteres Mal anzugreifen. Dieser Effekt kann mehrmals hintereinander auftreten, aber die Chance verringert sich nach jedem {ACTION_attack} um 25%."
traits.csv,3338,"After this creature gains a stat, it gains 200% of this amount of another stat (other than {STAT_health}). The stats gained from this trait do not activate effects that occur when stats are gained.","Nachdem diese Kreatur ein Attribut erhält, erhält sie 200% dieses Betrags eines anderen Attributs (außer {STAT_health}). Die durch diesen Effekt erhaltenen Attribute aktivieren keine Effekte, die beim Erhalten von Attributen ausgelöst werden."
traits.csv,4306,"If all the creatures in your party are {RACE_Elementasaur}s, they are resistant to debuffs and gain all debuffs referenced in their innate traits at the start of battle.","Wenn alle Kreaturen in deiner Gruppe {RACE_Elementasaur}s sind, sind sie resistent gegen Debuffs und erhalten alle in ihren angeborenen Merkmalenn erwähnten Debuffs zu Beginn des Kampfes."
ui.csv,211,Trait Gains,Merkmalsgewinne
ui.csv,516,View Trait Details.,Merkmalsdetails anzeigen.
ui.csv,524,This artifact does not have a material socketed in its Trait Slot.,Dieses Artefakt hat kein Material in seinem Merkmalsplatz eingesetzt.
ui.csv,554,Mastery Trait: {1},Meisterschaftsmerkmal: {1}
ui.csv,728,"After completing this Project, you will receive the following Trait Material:\n\n{1} (Owned: {2})",Nach Abschluss dieses Projekts erhältst du das folgende Merkmalsmaterial:\n\n{1} (Besessen: {2})
ui.csv,1043,"From now on, you will encounter a Rodian Creature Master in each realm you visit as long as that realm is at your highest-ever depth.\n\nMasters are powerful foes who you can challenge to a duel in order to win valuable items. There is a Master for each creature race. Rewards include trait materials, costumes, achievements, and Mastery. Mastery increases the power of your creatures that belong to that Master's race, and gives your other creatures an advantage when fighting enemies in the wild that belong to that race.\n\nFor more information, please see the Codex.","Von nun an wirst du in jedem Reich, das du besuchst, einem Rodianischen Kreaturmeister begegnen, solange dieses Reich auf deiner höchsten jemals erreichten Tiefe liegt.\n\nMeister sind mächtige Gegner, die du zu einem Duell herausfordern kannst, um wertvolle Gegenstände zu gewinnen. Es gibt einen Meister für jede Kreaturenrasse. Zu den Belohnungen gehören Merkmalsmaterialien, Kostüme, Erfolge und Meisterschaft. Meisterschaft erhöht die Stärke deiner Kreaturen, die zur Rasse dieses Meisters gehören, und gibt deinen anderen Kreaturen einen Vorteil, wenn sie in der Wildnis gegen Feinde kämpfen, die zu dieser Rasse gehören.\n\nWeitere Informationen findest du im Kodex."
ui.csv,1307,(Empty Trait Slot),(Leerer Merkmalsplatz)
ui.csv,1581,Fused Trait:,Fusionsmerkmal:
ui.csv,1583,Trait Slot:,Merkmalsplatz:
ui.csv,1695,Gather Trait Materials,Sammle Merkmalsmaterialien
ui.csv,1742,Gather Trait Materials from any source of loot.,Sammle Merkmalsmaterialien aus jeder Beutequelle.
ui.csv,2740,[ptd_tombstone] Tombstones Sometimes Grant Trait Materials,[ptd_tombstone] Grabsteine gewähren manchmal Merkmalsmaterialien
