Tag,Notes,English,Japanese,German,French,Spanish,Portuguese,Russian,Italian,Chinese (Traditional),Chinese (Simplified),Korean,Polish,Ukrainian,Dutch,Turkish
L_MASTER_NAME_GODSPAWN,,"Lucius, King of Nex",ルシウス、ネックスの王,"Lucius, König von Nex","Lucius, Roi de Nex","Lucius, Rey de Nex","Lucius, Rei de Nex","Люциус, Король Некса","Lucius, Re di Nex",路西斯，奈克斯之王,卢修斯，奈克斯之王,"루시우스, 넥스의 왕","Lucjusz, Król Neksu","Люціус, Король Нексу","Lucius, Koning van Nex","Lucius, Nex Kralı"
L_MASTER_NAME_ABOMINATION,,Gilbert,ギルバート,Gilbert,Gilbert,Gilbert,Gilbert,Гилберт,Gilbert,吉爾伯特,吉尔伯特,길버트,Gilbert,Гілберт,Gilbert,Gilbert
L_MASTER_NAME_ALEMENTAL,,"Furnace, Brother of Furness",炉(ろ)、ファーネスの兄弟,"Furnace, Bruder von Furness","Fournaise, Frère de Furness","Horno, Hermano de Furness","Fornalha, Irmão de Furness","Печь, Брат Фурнесса","Fornace, Fratello di Furness",熔爐，弗內斯之兄,弗纳斯，弗内斯之兄,"퍼니스, 퍼네스의 형제","Piec, Brat Furnessa","Піч, Брат Фурнесса","Oven, Broeder van Furness","Fırın, Furness'in Kardeşi"
L_MASTER_NAME_AMARANTH,,Jerex,ジェレックス,Jerex,Jerex,Jerex,Jerex,Джерекс,Jerex,傑瑞克斯,杰雷克斯,제렉스,Jerex,Джерекс,Jerex,Jerex
L_MASTER_NAME_AMPHISBAENA,,Leftrin,レフトリン,Leftrin,Leftrin,Leftrin,Leftrin,Лефтрин,Leftrin,萊夫特林,莱福特林,레프트린,Leftrin,Лефтрін,Leftrin,Leftrin
L_MASTER_NAME_ANGEL,,Engelin,エンゲリン,Engelin,Engelin,Engelin,Engelin,Энгелин,Engelin,恩格林,恩格林,엥겔린,Engelin,Енгелін,Engelin,Engel
L_MASTER_NAME_APIS,,Hashir,ハシル,Hashir,Hashir,Hashir,Hashir,Хашир,Hashir,哈希爾,哈希尔,하쉬르,Hashir,Хашир,Hashir,Hashir
L_MASTER_NAME_APOCALYPSE,,Gregnan,グレグナン,Gregnan,Gregnan,Gregnan,Gregnan,Грегнан,Gregnan,格雷格南,格雷格南,그레그난,Gregnan,Грегнан,Gregnan,Gregnan
L_MASTER_NAME_ARACHNALISK,,Jimeous,ジミアス,Jimeous,Jimeous,Jimeous,Jimeous,Джимеус,Jimeous,吉米歐斯,吉米厄斯,지미어스,Jimeous,Джіміус,Jimeous,Jimeous
L_MASTER_NAME_ASPECT,,Tao,タオ,Tao,Tao,Tao,Tao,Тао,Tao,道,道,도,Tao,Тао,Tao,Tao
