Tag,Notes,English,Japanese,German,French,Spanish,Portuguese,Russian,Italian,Chinese (Traditional),Chinese (Simplified),Korean,Polish,Ukrainian,Dutch,Turkish
L_BOSS_KIICHI,,Kiichi,キイチ,Kiichi,Kiichi,Kiichi,Kiichi,Киичи,Kiichi,紀一,吉一,키이치,Kiichi,Кіічі,Kiichi,Kiichi
L_BOSS_MYRTLE,,Myrtle,マートル,Myrtle,Myrtle,Myrtle,Myrtle,Миртл,Myrtle,默特爾,默特尔,머틀,Myrtle,Міртл,Myrtle,Myrtle
L_BOSS_LOID,,Loid,ロイド,Loid,Loid,Loid,Loid,Лоид,Loid,洛伊德,洛伊德,로이드,Loid,Лоїд,Loid,Loid
L_BOSS_VLORA,,Vlora,ヴローラ,Vlora,Vlora,Vlora,Vlora,Влора,Vlora,芙蘿拉,薇洛拉,블로라,Vlora,Влора,Vlora,Vlora
L_BOSS_GENGGAI,,Genggai,ゲンガイ,Genggai,Genggai,Genggai,Genggai,Генггай,Genggai,更改,更改,겡가이,Genggai,Генггай,Genggai,Genggai
L_BOSS_SHIJIAN,,Shijian,時間,Shijian,Shijian,Shijian,Shijian,Шицзянь,Shijian,時間,时间,시간,Shijian,Шіцзянь,Shijian,Şician
L_BOSS_DONJI,,Donji,ドンジ,Donji,Donji,Donji,Donji,Донджи,Donji,多尼吉,冬季,돈지,Donji,Доньї,Donji,Donji
L_BOSS_CHUNTIAN,,Chuntian,チュンティアン,Chuntian,Chuntian,Chuntian,Chuntian,Чуньтянь,Chuntian,春天,春天,춘티안,Chuntian,Чуньтянь,Chuntian,Chuntian
L_BOSS_XIATIAN,,Xiatian,シアティアン,Xiatian,Xiatian,Xiatian,Xiatian,Сятянь,Xiatian,夏天,夏天,시아티안,Xiatian,Сятянь,Xiatian,Xiatian
L_BOSS_QIUJI,,Qiuji,キウジ,Qiuji,Qiuji,Qiuji,Qiuji,Цюцзи,Qiuji,秋季,秋季,츄지,Qiuji,Цюцзі,Qiuji,Qiuji
L_BOSS_XYRXZYS,,Xyrxzys,ザーザイス,Xyrxzys,Xyrxzys,Xyrxzys,Xyrxzys,Ксирксис,Xyrxzys,薩爾西斯,克西尔瑞克西滋义斯,지르지스,Xyrxzys,Ксірксіс,Xyrxzys,Xyrxzys
L_BOSS_SPOONOR,,Spoonor,スプーナー,Spoonor,Spoonor,Spoonor,Spoonor,Спунор,Spoonor,湯匙人,斯普诺,스푸너,Spoonor,Спунор,Spoonor,Spoonor
L_BOSS_QILA,,Qila,キラ,Qila,Qila,Qila,Qila,Кила,Qila,奇拉,奇拉,퀼라,Qila,Кіла,Qila,Qila
L_BOSS_VITJA,,Vitja,ヴィチャ,Vitja,Vitja,Vitja,Vitja,Витя,Vitja,維佳,维佳,비차,Vitja,Вітя,Vitja,Vitja
L_BOSS_IMPIMPINGTON,,Imp Impington,インプ・インピントン,Kobold Koboldingen,Imp Impington,Diablillo Impington,Diabrete Impington,Бес Импингтон,Imp Impington,小惡魔英彭頓,小鬼英普顿,임프 임핑턴,Chochlik Impington,Імп Імпінгтон,Kobold Koboldstein,İblis İmpington
L_BOSS_ETTA,,Etta,エッタ,Etta,Etta,Etta,Etta,Этта,Etta,艾塔,艾塔,에타,Etta,Етта,Etta,Etta
L_BOSS_TELLUR,,Tellur,テルル,Tellur,Tellur,Tellur,Tellur,Теллур,Tellur,泰勒爾,泰勒,텔루르,Tellur,Теллур,Tellur,Tellur
L_BOSS_IMPIMPINGTONPRIME,,Imp Impington Prime,インプ・インピントン・プライム,Imp Impington Prime,Imp Impington Prime,Imp Impington Prime,Diabrete Impington Prime,Бес Импингтон Прайм,Imp Impington Prime,小惡魔英普頓大王,钢铁小鬼英普顿,임프 임핑턴 프라임,Imp Impington Pierwszy,Імп Імпінгтон Прайм,Kobold Koboldstein Opperhoofd,İblis İmpington Üstün
L_BOSS_RAMSES,,Ramses,ラムセス,Ramses,Ramsès,Ramses,Ramsés,Рамзес,Ramses,拉姆西斯,拉美西斯,람세스,Ramses,Рамзес,Ramses,Ramses
L_BOSS_KRAYNAKS,,Kraynaks,クレイナクス,Kraynaks,Kraynaks,Kraynaks,Kraynaks,Крайнаки,Kraynaks,克雷納克斯,克雷纳克斯,크레이낙스,Kraynaki,Крайнаки,Kraynaks,Kraynaklar
L_BOSS_SHADOWOFTHEVOID,,Shadow of the Void,虚無の影,Schatten der Leere,Ombre du Néant,Sombra del Vacío,Sombra do Vazio,Тень Пустоты,Ombra del Vuoto,虛無之影,虚空之影,공허의 그림자,Cień Pustki,Тінь Порожнечі,Schaduw van de Leegte,Boşluğun Gölgesi
L_NBOSS_KIICHI,,Kiichi,キイチ,Kiichi,Kiichi,Kiichi,Kiichi,Киичи,Kiichi,紀一,吉一,키이치,Kiichi,Кіічі,Kiichi,Kiichi
L_NBOSS_IANNE,,Blacksmith Ianne,鍛冶屋イアン,Schmied Ianne,Forgeron Ianne,Herrero Ianne,Ferreiro Ianne,Кузнец Ианн,Fabbro Ianne,鐵匠艾安,铁匠艾安,대장장이 이안느,Kowal Ianne,Коваль Іанне,Smid Ianne,Demirci Ianne
L_NBOSS_CEASELESSGLADIATOR,,Ceaseless Gladiator,不屈の剣闘士,Unermüdlicher Gladiator,Gladiateur Incessant,Gladiador Incesante,Gladiador Incessante,Неустанный Гладиатор,Gladiatore Incessante,不懈鬥士,不息角斗士,끝없는 검투사,Nieustępliwy Gladiator,Невпинний Гладіатор,Onophoudelijke Gladiator,Durmaksızın Gladyatör
L_NBOSS_MYRTLE,,Myrtle,マートル,Myrtle,Myrtle,Myrtle,Myrtle,Миртл,Myrtle,默特爾,默特尔,머틀,Myrtle,Міртл,Myrtle,Myrtle
L_NBOSS_NERLYX,,Nerlyx,ネリクス,Nerlyx,Nerlyx,Nerlyx,Nerlyx,Нерликс,Nerlyx,奈利克斯,奈利克斯,넬릭스,Nerlyx,Нерлікс,Nerlyx,Nerlyx
L_NBOSS_KINGANDRICK,,King Andrick,キング・アンドリック,König Andrick,Roi Andrick,Rey Andrick,Rei Andrick,Король Андрик,Re Andrick,安德里克國王,国王安德里克,앤드릭 왕,Król Andrick,Король Андрік,Koning Andrick,Kral Andrick
L_NBOSS_LOID,,Loid,ロイド,Loid,Loid,Loid,Loid,Лоид,Loid,洛伊德,洛伊德,로이드,Loid,Лоїд,Loid,Loid
L_NBOSS_ZENPANG,,Zenpang,ゼンパング,Zenpang,Zenpang,Zenpang,Zenpang,Зенпанг,Zenpang,禪胖,禅庞,젠팡,Zenpang,Зенпанг,Zenpang,Zenpang
L_NBOSS_PHOBOS,,Phobos,フォボス,Phobos,Phobos,Phobos,Phobos,Фобос,Phobos,福波斯,福波斯,포보스,Fobos,Фобос,Phobos,Phobos
L_NBOSS_GIRAN,,Giran,ギラン,Giran,Giran,Giran,Giran,Гиран,Giran,奇連,吉兰,기란,Giran,Гіран,Giran,Giran
L_NBOSS_CHROMA,,Chroma,クロマ,Chroma,Chroma,Chroma,Chroma,Хрома,Chroma,色彩,变色灵,크로마,Chroma,Хрома,Chroma,Kroma
L_NBOSS_FLUBRIS,,Flubris,フラブリス,Flubris,Flubris,Flubris,Flubris,Флубрис,Flubris,弗魯布里斯,弗鲁布里斯,플루브리스,Flubris,Флубріс,Flubris,Flubris
L_NBOSS_VLORA,,Vlora,ヴローラ,Vlora,Vlora,Vlora,Vlora,Влора,Vlora,芙蘿拉,薇洛拉,블로라,Vlora,Влора,Vlora,Vlora
L_NBOSS_SAREA,,Sarea,サレア,Sarea,Sarea,Sarea,Sarea,Сарея,Sarea,薩瑞亞,萨瑞娅,사레아,Sarea,Сарея,Sarea,Sarea
L_NBOSS_SHACKLER,,Shackler,シャックラー,Fessler,Entraveur,Encadenador,Agrilhoador,Оковщик,Incatenatore,束縛者,束缚者,구속자,Zakuwacz,Поневолювач,Ketener,Zincirleyici
L_NBOSS_FURNESS,,Furness,ファーネス,Furness,Fournaise,Furness,Fornalha,Фернесс,Fornace,弗內斯,弗内斯,화로,Piec,Горно,Furness,Ocak
L_NBOSS_ASPECTS,,Aspect of Meraxis,メラクシスの相,Aspekt von Meraxis,Aspect de Meraxis,Aspecto de Meraxis,Aspecto de Meraxis,Аспект Мераксиса,Aspetto di Meraxis,梅拉克西斯之相,梅拉西斯具像,메락시스의 면모,Aspekt Meraxis,Аспект Мераксіса,Aspect van Meraxis,Meraxis'in Görünümü
L_NBOSS_VEXT,,Vext,ヴェクスト,Vext,Vext,Vext,Vext,Векст,Vext,維克斯特,维克斯特,벡스트,Vext,Векст,Vext,Vext
L_NBOSS_XYRXZYS,,Xyrxzys,ザーザイス,Xyrxzys,Xyrxzys,Xyrxzys,Xyrxzys,Ксирксис,Xyrxzys,席爾克西斯,克西尔瑞克西滋义斯,지르지스,Xyrxzys,Ксірксіс,Xyrxzys,Xyrxzys
L_NBOSS_KATARINA,,Katarina,カタリナ,Katarina,Katarina,Katarina,Katarina,Катарина,Katarina,卡塔莉娜,卡特琳娜,카타리나,Katarina,Катаріна,Katarina,Katarina
