line,english,german,issues,reviewed,replacement
8662,Earning Mutatias,{RELIC_ALEXANDRIA} freischalten,TOKEN_MISMATCH,,
8664,Earning Ribcracker,{RELIC_ARIAMAKI} freischalten,TOKEN_MISMATCH,,
8666,Earning Brambleskin,{RELIC_GENAROS} freischalten,TOKEN_MISMATCH,,
8668,Earning Ripplevein,{RELIC_MUSE} freischalten,TOKEN_MISMATCH,,
8672,Earning 5740-NG,{RELIC_ROBO} freischalten,TOKEN_MISMATCH,,
9400,Empowering Mutatias I,{RELIC_ALEXANDRIA} verstärken I,TOKEN_MISMATCH,,
9402,Empowering Mutatias II,{RELIC_ALEXANDRIA} verstärken II,TOKEN_MISMATCH,,
9404,Empowering Mutatias III,{RELIC_ALEXANDRIA} verstärken III,TOKEN_MISMATCH,,
9406,Empowering Mutatias IV,{RELIC_ALEXANDRIA} verstärken IV,TOKEN_MISMATCH,,
9408,Empowering Mutatias V,{RELIC_ALEXANDRIA} verstärken V,TOKEN_MISMATCH,,
9410,Empowering Mutatias VI,{RELIC_ALEXANDRIA} verstärken VI,TOKEN_MISMATCH,,
9412,Empowering Mutatias VII,{RELIC_ALEXANDRIA} verstärken VII,TOKEN_MISMATCH,,
9414,Empowering Mutatias VIII,{RELIC_ALEXANDRIA} verstärken VIII,TOKEN_MISMATCH,,
9416,Empowering Mutatias IX,{RELIC_ALEXANDRIA} verstärken IX,TOKEN_MISMATCH,,
9418,Empowering Mutatias X,{RELIC_ALEXANDRIA} verstärken X,TOKEN_MISMATCH,,
9420,Empowering Ribcracker I,{RELIC_ARIAMAKI} verstärken I,TOKEN_MISMATCH,,
9422,Empowering Ribcracker II,{RELIC_ARIAMAKI} verstärken II,TOKEN_MISMATCH,,
9424,Empowering Ribcracker III,{RELIC_ARIAMAKI} verstärken III,TOKEN_MISMATCH,,
9426,Empowering Ribcracker IV,{RELIC_ARIAMAKI} verstärken IV,TOKEN_MISMATCH,,
9428,Empowering Ribcracker V,{RELIC_ARIAMAKI} verstärken V,TOKEN_MISMATCH,,
9430,Empowering Ribcracker VI,{RELIC_ARIAMAKI} verstärken VI,TOKEN_MISMATCH,,
9432,Empowering Ribcracker VII,{RELIC_ARIAMAKI} verstärken VII,TOKEN_MISMATCH,,
9434,Empowering Ribcracker VIII,{RELIC_ARIAMAKI} verstärken VIII,TOKEN_MISMATCH,,
9436,Empowering Ribcracker IX,{RELIC_ARIAMAKI} verstärken IX,TOKEN_MISMATCH,,
9438,Empowering Ribcracker X,{RELIC_ARIAMAKI} verstärken X,TOKEN_MISMATCH,,
9440,Empowering Brambleskin I,{RELIC_GENAROS} verstärken I,TOKEN_MISMATCH,,
9442,Empowering Brambleskin II,{RELIC_GENAROS} verstärken II,TOKEN_MISMATCH,,
9444,Empowering Brambleskin III,{RELIC_GENAROS} verstärken III,TOKEN_MISMATCH,,
9446,Empowering Brambleskin IV,{RELIC_GENAROS} verstärken IV,TOKEN_MISMATCH,,
9448,Empowering Brambleskin V,{RELIC_GENAROS} verstärken V,TOKEN_MISMATCH,,
9450,Empowering Brambleskin VI,{RELIC_GENAROS} verstärken VI,TOKEN_MISMATCH,,
9452,Empowering Brambleskin VII,{RELIC_GENAROS} verstärken VII,TOKEN_MISMATCH,,
9454,Empowering Brambleskin VIII,{RELIC_GENAROS} verstärken VIII,TOKEN_MISMATCH,,
9456,Empowering Brambleskin IX,{RELIC_GENAROS} verstärken IX,TOKEN_MISMATCH,,
9458,Empowering Brambleskin X,{RELIC_GENAROS} verstärken X,TOKEN_MISMATCH,,
9460,Empowering Ripplevein I,{RELIC_MUSE} verstärken I,TOKEN_MISMATCH,,
9462,Empowering Ripplevein II,{RELIC_MUSE} verstärken II,TOKEN_MISMATCH,,
9464,Empowering Ripplevein III,{RELIC_MUSE} verstärken III,TOKEN_MISMATCH,,
9466,Empowering Ripplevein IV,{RELIC_MUSE} verstärken IV,TOKEN_MISMATCH,,
9468,Empowering Ripplevein V,{RELIC_MUSE} verstärken V,TOKEN_MISMATCH,,
9470,Empowering Ripplevein VI,{RELIC_MUSE} verstärken VI,TOKEN_MISMATCH,,
9472,Empowering Ripplevein VII,{RELIC_MUSE} verstärken VII,TOKEN_MISMATCH,,
9474,Empowering Ripplevein VIII,{RELIC_MUSE} verstärken VIII,TOKEN_MISMATCH,,
9476,Empowering Ripplevein IX,{RELIC_MUSE} verstärken IX,TOKEN_MISMATCH,,
9478,Empowering Ripplevein X,{RELIC_MUSE} verstärken X,TOKEN_MISMATCH,,
9480,Empowering Fatum and Fortuna I,{RELIC_RECLUSA} verstärken I,TOKEN_MISMATCH,,
9482,Empowering Fatum and Fortuna II,{RELIC_RECLUSA} verstärken II,TOKEN_MISMATCH,,
9484,Empowering Fatum and Fortuna III,{RELIC_RECLUSA} verstärken III,TOKEN_MISMATCH,,
9486,Empowering Fatum and Fortuna IV,{RELIC_RECLUSA} verstärken IV,TOKEN_MISMATCH,,
9488,Empowering Fatum and Fortuna V,{RELIC_RECLUSA} verstärken V,TOKEN_MISMATCH,,
9490,Empowering Fatum and Fortuna VI,{RELIC_RECLUSA} verstärken VI,TOKEN_MISMATCH,,
9492,Empowering Fatum and Fortuna VII,{RELIC_RECLUSA} verstärken VII,TOKEN_MISMATCH,,
9494,Empowering Fatum and Fortuna VIII,{RELIC_RECLUSA} verstärken VIII,TOKEN_MISMATCH,,
9496,Empowering Fatum and Fortuna IX,{RELIC_RECLUSA} verstärken IX,TOKEN_MISMATCH,,
9498,Empowering Fatum and Fortuna X,{RELIC_RECLUSA} verstärken X,TOKEN_MISMATCH,,
9500,Empowering 5740-NG I,{RELIC_ROBO} verstärken I,TOKEN_MISMATCH,,
9502,Empowering 5740-NG II,{RELIC_ROBO} verstärken II,TOKEN_MISMATCH,,
9504,Empowering 5740-NG III,{RELIC_ROBO} verstärken III,TOKEN_MISMATCH,,
9506,Empowering 5740-NG IV,{RELIC_ROBO} verstärken IV,TOKEN_MISMATCH,,
9508,Empowering 5740-NG V,{RELIC_ROBO} verstärken V,TOKEN_MISMATCH,,
9510,Empowering 5740-NG VI,{RELIC_ROBO} verstärken VI,TOKEN_MISMATCH,,
9512,Empowering 5740-NG VII,{RELIC_ROBO} verstärken VII,TOKEN_MISMATCH,,
9514,Empowering 5740-NG VIII,{RELIC_ROBO} verstärken VIII,TOKEN_MISMATCH,,
9516,Empowering 5740-NG IX,{RELIC_ROBO} verstärken IX,TOKEN_MISMATCH,,
9518,Empowering 5740-NG X,{RELIC_ROBO} verstärken X,TOKEN_MISMATCH,,
