line,english,german,issues,reviewed,replacement
106,Spell Gems\nUnsealed,Zauberedelsteine\nEntsiegelt,TERM:Spell Gems->Zaubersteine,,
107,Spell Gems\nSealed,Zauberedelsteine\nVersiegelt,TERM:Spell Gems->Zaubersteine,,
139,Max Minion\nStacks,Max Minion\nStapel,TERM:Minion->Diener,,
140,+{1} Minion Stacks,+{1} Schergen-Stapel,TERM:Minion->Diener,,
156,Extra Traits\nRemoved,Extra Traits\nEntfernt,TERM:Traits->Merkmale,,
157,Extra Traits\nGained,Zusätzliche Eigenschaften\nErhalten,TERM:Traits->Merkmale,,
162,Ultimate Spell Gems\nRecharged,Ultimative Zauberedelsteine\nAufgeladen,TERM:Spell Gems->Zaubersteine,,
201,{1} gained trait: {2}.,{1} erhielt Eigenschaft: {2}.,TERM:Trait->Merkmal,,
202,Gained Trait:\n{1},Erhaltene Eigenschaft:\n{1},TERM:Trait->Merkmal,,
205,Trait\nDisabled,Eigenschaft\nDeaktiviert,TERM:Trait->Merkmal,,
207,{1} has too many traits.,{1} hat zu viele Eigenschaften.,TERM:Traits->Merkmale,,
225,"Your {1} cannot manually perform actions because it has the ""Another Man's Trash"" trait.","Dein {1} kann keine Aktionen manuell ausführen, da es die Eigenschaft ""Eines anderen Mannes Müll"" besitzt.",TERM:Trait->Merkmal,,
231,Your {1} cannot cast spells manually because its trait prevents it from doing so.,"Dein {1} kann keine Zauber manuell wirken, da seine Eigenschaft es daran hindert.",TERM:Trait->Merkmal,,
233,Your {1} cannot cast spells (other than Arrow spells) manually because its trait prevents it from doing so.,"Dein {1} kann keine Zauber (außer Pfeilzauber) manuell wirken, da seine Eigenschaft es daran hindert.",TERM:Trait->Merkmal,,
