line,english,german,issues,reviewed,replacement
7,"After an enemy is afflicted with {CONDNAME_DEBUFF_SILENCE}, one of its Spell Gems is Sealed.","Nachdem ein Feind mit {CONDNAME_DEBUFF_SILENCE} belegt wurde, wird einer seiner Zauber-Edelsteine Versiegelt.",TERM:Spell Gems->Zaubersteine,,
38,Your creatures' Spell Gems have 10% more {STAT_charges}.,Deine Kreaturen-Zaubergems haben 10% mehr {STAT_charges}.,TERM:Spell Gems->Zaubersteine,,
39,Your creatures' Spell Gems have 1 additional {STAT_charge}.,Deine Kreaturen-Zaubergems haben 1 zusätzliche {STAT_charge}.,TERM:Spell Gems->Zaubersteine,,
40,Your creatures' Ultimate Spell Gems have 1 additional {STAT_charge}.,Deine Kreaturen-Ultimativzauber-Edelsteine haben 1 zusätzliche {STAT_charge}.,TERM:Spell Gems->Zaubersteine,,
125,Your creatures' Spell Gems have 1 additional {STAT_charge}.,Deine Kreaturen-Zaubergems haben 1 zusätzliche {STAT_charge}.,TERM:Spell Gems->Zaubersteine,,
126,Your creatures' Spell Gems have 1 additional {STAT_charge}.,Deine Kreaturen-Zaubergems haben 1 zusätzliche {STAT_charge}.,TERM:Spell Gems->Zaubersteine,,
127,Your creatures' Spell Gems have 1 additional {STAT_charge}.,Deine Kreaturen-Zaubergems haben 1 zusätzliche {STAT_charge}.,TERM:Spell Gems->Zaubersteine,,
221,Your creatures' {CONDNAME_BUFF_ARCANE} buffs have a 5% chance to grant the Spell Gem an extra {STAT_charge} when it activates.,"Eure Kreaturen haben eine 5% Chance, dem Zauberedelstein eine zusätzliche {STAT_charge} zu gewähren, wenn ihre {CONDNAME_BUFF_ARCANE}-Buffs aktiviert werden.",TERM:Spell Gem->Zauberstein,,
287,Enemies' Spell Gems have 10% fewer {STAT_charges}.,Zauber-Edelsteine der Gegner haben 10% weniger {STAT_charges}.,TERM:Spell Gems->Zaubersteine,,
288,Enemies' Spell Gems have 10% fewer {STAT_charges}.,Zauber-Edelsteine der Gegner haben 10% weniger {STAT_charges}.,TERM:Spell Gems->Zaubersteine,,
289,Enemies' Spell Gems have 10% fewer {STAT_charges}.,Zauber-Edelsteine der Gegner haben 10% weniger {STAT_charges}.,TERM:Spell Gems->Zaubersteine,,
310,Your creatures' Spell Gems don't lose {STAT_charges} when they're {ACTION_cast} at the start of battle.,"Deine Kreaturen verlieren keine {STAT_charges}, wenn ihre Zauberedelsteine zu Beginn des Kampfes {ACTION_cast} werden.",TERM:Spell Gems->Zaubersteine,,
347,"At the start of battle, enemies' Spell Gems each have a 3% chance to be Sealed.","Zu Beginn des Kampfes haben die Zauber-Edelsteine der Gegner jeweils eine 3% Chance, versiegelt zu werden.",TERM:Spell Gems->Zaubersteine,,
348,"At the start of battle, enemies' Spell Gems each have a 3% chance to be Sealed.","Zu Beginn des Kampfes haben die Zauber-Edelsteine der Gegner jeweils eine 3% Chance, versiegelt zu werden.",TERM:Spell Gems->Zaubersteine,,
349,"At the start of battle, enemies' Spell Gems each have a 3% chance to be Sealed.","Zu Beginn des Kampfes haben die Zauber-Edelsteine der Gegner jeweils eine 3% Chance, versiegelt zu werden.",TERM:Spell Gems->Zaubersteine,,
371,Your creatures' Ethereal Spell Gems heal 15% more.,Deine Kreaturen heilen durch Ätherische Zauberedelsteine 15% mehr.,TERM:Spell Gems->Zaubersteine,,
372,Your creatures' Ethereal Spell Gems increase/decrease stats 15% more.,Deine Kreaturen-Ätheredelsteine erhöhen/verringern Werte um 15% mehr.,TERM:Spell Gems->Zaubersteine,,
373,Your creatures' Ethereal Spell Gems deal 15% more damage.,Deine Kreaturen verursachen mit Ätherischen Zauberedelsteinen 15% mehr Schaden.,TERM:Spell Gems->Zaubersteine,,
375,Your creatures take 3% less damage for each Sealed Spell Gem the enemy has.,"Deine Kreaturen erleiden 3% weniger Schaden für jedes Versiegelte Zauber-Juwel, das der Gegner besitzt.",TERM:Spell Gem->Zauberstein,,
377,Your creatures' Spell Gems have a 5% chance to not consume {STAT_charges}.,"Eure Kreaturen-Zaubergems haben eine 5% Chance, keine {STAT_charges} zu verbrauchen.",TERM:Spell Gems->Zaubersteine,,
378,Your creatures' Spell Gems have a 5% chance to not consume {STAT_charges}.,"Eure Kreaturen-Zaubergems haben eine 5% Chance, keine {STAT_charges} zu verbrauchen.",TERM:Spell Gems->Zaubersteine,,
379,Your creatures' Spell Gems have a 5% chance to not consume {STAT_charges}.,"Eure Kreaturen-Zaubergems haben eine 5% Chance, keine {STAT_charges} zu verbrauchen.",TERM:Spell Gems->Zaubersteine,,
410,Your creatures' [temporary] Ethereal Spell Gems deal 10% more damage.,Deine Kreaturen verursachen mit [temporary] Ätherischen Zauberedelsteinen 10% mehr Schaden.,TERM:Spell Gems->Zaubersteine,,
411,Your creatures' [temporary] Ethereal Spell Gems grant 10% more healing.,Deine Kreaturen [temporary] Ätherische Zauberedelsteine gewähren 10% mehr Heilung.,TERM:Spell Gems->Zaubersteine,,
412,Your creatures' [temporary] Ethereal Spell Gems grant 10% more stats.,Deine Kreaturen erhalten durch [temporary] Ätherische Zauberedelsteine 10% mehr Statuswerte.,TERM:Spell Gems->Zaubersteine,,
449,Your creatures' Spell Gems that belong to other classes have 5% more potency.,"Die Zauberedelsteine deiner Kreaturen, die anderen Klassen angehören, haben 5% mehr Wirksamkeit.",TERM:Spell Gems->Zaubersteine,,
450,Your creatures' Spell Gems that belong to other classes have 5% more potency.,"Die Zauberedelsteine deiner Kreaturen, die anderen Klassen angehören, haben 5% mehr Wirksamkeit.",TERM:Spell Gems->Zaubersteine,,
451,Your creatures' Spell Gems that belong to other classes have 5% more potency.,"Die Zauberedelsteine deiner Kreaturen, die anderen Klassen angehören, haben 5% mehr Wirksamkeit.",TERM:Spell Gems->Zaubersteine,,
452,Your creatures deal 1% more damage for each equipped permanent Spell Gem that belongs to another class.,"Deine Kreaturen verursachen 1% mehr Schaden für jeden ausgerüsteten permanenten Zauberedelstein, der einer anderen Klasse angehört.",TERM:Spell Gem->Zauberstein,,
453,Your creatures deal 1% more damage for each equipped permanent Spell Gem that belongs to another class.,"Deine Kreaturen verursachen 1% mehr Schaden für jeden ausgerüsteten permanenten Zauberedelstein, der einer anderen Klasse angehört.",TERM:Spell Gem->Zauberstein,,
454,Your creatures deal 1% more damage for each equipped permanent Spell Gem that belongs to another class.,"Deine Kreaturen verursachen 1% mehr Schaden für jeden ausgerüsteten permanenten Zauberedelstein, der einer anderen Klasse angehört.",TERM:Spell Gem->Zauberstein,,
