line,english,german,issues,reviewed,replacement
8,Spell Gems,Zauberedelsteine,TERM:Spell Gems->Zaubersteine,,
18,Traits,Eigenschaften,TERM:Traits->Merkmale,,
30,Trait Slots,Eigenschaftsplätze,TERM:Trait->Merkmal,,
68,Materials (Spell Gems),Materialien (Zauberedelsteine),TERM:Spell Gems->Zaubersteine,,
71,Spell Gems,Zauberedelsteine,TERM:Spell Gems->Zaubersteine,,
103,Traits,Eigenschaften,TERM:Traits->Merkmale,,
132,"Each of your creatures can equip one Artifact. Artifacts grant powerful bonuses to their bearers, including stat bonuses, on-hit effects, new traits, and much more.\n\nThe Blacksmith in your castle allows you to craft and enhance Artifacts. In order to do so, you must pay him a certain amount of {RES_BRIMSTONE} for his services.","Jede deiner Kreaturen kann ein Artefakt ausrüsten. Artefakte gewähren ihren Trägern mächtige Boni, darunter Statusboni, Effekte bei Treffern, neue Eigenschaften und vieles mehr.\n\nDer Schmied in deiner Burg ermöglicht es dir, Artefakte herzustellen und zu verbessern. Um dies zu tun, musst du ihm eine bestimmte Menge an {RES_BRIMSTONE} für seine Dienste zahlen.",TERM:Traits->Merkmale,,
138,"Trait Slots provide your creatures with an additional trait.\n\nTrait Slots must be socketed with Trait Materials, which are extremely difficult to find.\n\nArtifacts can have only 1 Trait Slot.","Eigenschaftsplätze verleihen deinen Kreaturen eine zusätzliche Eigenschaft.\n\nEigenschaftsplätze müssen mit Eigenschaftsmaterialien bestückt werden, die äußerst schwer zu finden sind.\n\nArtefakte können nur 1 Eigenschaftsplatz haben.",TERM:Trait->Merkmal,,
139,Spell Slots grant your creatures a chance to automatically cast the spell contained in this slot at certain times during battle. Each of the five types of Artifacts determines when the spell will be cast:\n\nSwords [arrow_right] Cast on Attack\nStaffs [arrow_right] Cast on Cast\nHelmets [arrow_right] Cast on Provoke\nShields [arrow_right] Cast on Defend\nBoots [arrow_right] Cast on Start of Turn\n\nSpell Slots must be socketed with Spell Gems. The tier and properties of the Spell Gem socketed in an Artifact are ignored.\n\nArtifacts can have only 1 Spell Slot.,"Zauberplätze gewähren deinen Kreaturen die Chance, den in diesem Platz enthaltenen Zauber zu bestimmten Zeiten während des Kampfes automatisch zu wirken. Jeder der fünf Artefakttypen bestimmt, wann der Zauber gewirkt wird:\n\nSchwerter [arrow_right] Wirken bei Angriff\nStäbe [arrow_right] Wirken bei Zaubern\nHelme [arrow_right] Wirken bei Provokation\nSchilde [arrow_right] Wirken bei Verteidigung\nStiefel [arrow_right] Wirken zu Beginn des Zuges\n\nZauberplätze müssen mit Zauberedelsteinen bestückt werden. Die Stufe und Eigenschaften des in ein Artefakt eingesetzten Zauberedelsteins werden ignoriert.\n\nArtefakte können nur 1 Zauberplatz haben.",TERM:Spell Gem->Zauberstein; TERM:Spell Gems->Zaubersteine,,
140,"Nether Slots can be socketed with Nether Stones to grant your creatures unimaginable power. Nether Stones are extremely difficult to find, but they're also the most powerful items in the game and can offer multiple traits, spells, and any other benefit that the other slots can give your creatures.\n\nThe rarity of a Nether Stone is denoted by a number next to its name. The higher the number, the rarer it is.\n\nArtifacts can have only 1 Nether Slot.","Nether-Slots können mit Nether-Steinen bestückt werden, um deinen Kreaturen unvorstellbare Macht zu verleihen. Nether-Steine sind extrem schwer zu finden, aber sie sind auch die mächtigsten Gegenstände im Spiel und können mehrere Eigenschaften, Zauber und alle anderen Vorteile bieten, die die anderen Slots deinen Kreaturen geben können.\n\nDie Seltenheit eines Nether-Steins wird durch eine Zahl neben seinem Namen angezeigt. Je höher die Zahl, desto seltener ist er.\n\nArtefakte können nur 1 Nether-Slot haben.",TERM:Traits->Merkmale,,
159,"Now that you've created a macro, you must assign it to a creature to use it in battle. Open the main menu, then choose ""Creatures"", followed by the creature you want to assign a macro to. Then, choose ""Assign Macro"" and select the macro you want to assign to the creature.\n\nNow, when that creature chooses the ""Macro"" command in battle, it will evaluate all the lines we created for that macro and try to figure out what to do.\n\nImagine our macro that we mentioned in the last page is assigned to one of your creatures. If any of its allies falls below 20% Health and then you use the ""Macro"" command, it will cast the ""Healing"" spell on that ally as long as it has the spell equipped.","Nachdem du ein Makro erstellt hast, musst du es einer Kreatur zuweisen, um es im Kampf zu nutzen. Öffne das Hauptmenü, wähle dann ""Kreaturen",TOKEN_MISMATCH,,
160,"Spell Gems are items that can be equipped to your creatures in order to allow them to cast a spell in battle.\n\nBy default, creatures can equip up to 3 Spell Gems at a time, and no more than one of the same spell can be equipped at once. In addition, creatures can only cast Spell Gems that belong to their own class. However, all of these limits can be changed or removed with the help of certain Spell Gem properties, creature traits, specialization perks, and more. At most, a creature can have 18 Spell Gems equipped with the help of these bonuses.\n\nSpell Gems have a certain number of {STAT_charges}. Each time the Spell Gem is used, it loses 1 {STAT_charge}, and if the Spell Gem runs out of {STAT_charges}, that gem cannot be used again until they are restored. Spell Gems regenerate all their {STAT_charges} at the start of each Realm.","Zauberedelsteine sind Gegenstände, die an deine Kreaturen ausgerüstet werden können, um ihnen das Wirken von Zaubern im Kampf zu ermöglichen.\n\nStandardmäßig können Kreaturen bis zu 3 Zauberedelsteine gleichzeitig ausrüsten, und es kann nicht mehr als ein Edelstein desselben Zaubers auf einmal ausgerüstet werden. Außerdem können Kreaturen nur Zauberedelsteine wirken, die zu ihrer eigenen Klasse gehören. All diese Beschränkungen können jedoch mit Hilfe bestimmter Zauberedelstein-Eigenschaften, Kreaturenmerkmale, Spezialisierungsvorteile und mehr geändert oder aufgehoben werden. Maximal kann eine Kreatur mit Hilfe dieser Boni 18 Zauberedelsteine ausgerüstet haben.\n\nZauberedelsteine haben eine bestimmte Anzahl an {STAT_charges}. Jedes Mal, wenn der Zauberedelstein verwendet wird, verliert er 1 {STAT_charge}, und wenn dem Zauberedelstein die {STAT_charges} ausgehen, kann dieser Edelstein nicht mehr verwendet werden, bis sie wiederhergestellt sind. Zauberedelsteine regenerieren alle ihre {STAT_charges} zu Beginn jedes Reiches.",TERM:Spell Gem->Zauberstein; TERM:Spell Gems->Zaubersteine,,
161,"During your travels, you'll find items called Inscriptions. These are permanent, re-usable items that allow you to craft new Spell Gems at the Enchanter in your kingdom. While many Inscriptions can be found in treasure chests, some must be earned from the gods or acquired in other ways.\n\nIn order to craft a Spell Gem, visit your Enchanter and choose the [menu_gems_craftgem] Craft option. Next, select the Spell Gem you'd like to craft and it will be added to your inventory.","Während deiner Reisen wirst du Gegenstände namens Inschriften finden. Dies sind permanente, wiederverwendbare Gegenstände, die es dir ermöglichen, neue Zauberedelsteine beim Verzauberer in deinem Königreich herzustellen. Während viele Inschriften in Schatztruhen gefunden werden können, müssen einige von den Göttern verdient oder auf andere Weise erworben werden.\n\nUm einen Zauberedelstein herzustellen, besuche deinen Verzauberer und wähle die [menu_gems_craftgem] Herstellen-Option. Wähle dann den Zauberedelstein aus, den du herstellen möchtest, und er wird deinem Inventar hinzugefügt.",TERM:Spell Gem->Zauberstein; TERM:Spell Gems->Zaubersteine,,
162,"Spell Gems have a ""Tier"". When you first obtain a Spell Gem, it will only be Tier 1 and must be upgraded at the Enchanter to increase its tier.\n\nWhen you upgrade a Spell Gem, new property slots will be unlocked at certain tiers which allow you to enchant them with crafting materials and grant them new properties that change the way the spell works.\n\nIn addition, increasing a Spell Gem's tier will also increase the strength of all its properties.\n\nSpell Gems can have a maximum tier of 15, but you must first upgrade your Enchanter in order to reach this limit.","Zauberedelsteine haben eine ""Stufe"". Wenn du einen Zauberedelstein zum ersten Mal erhältst, ist er nur Stufe 1 und muss beim Verzauberer aufgewertet werden, um seine Stufe zu erhöhen.\n\nWenn du einen Zauberedelstein aufwertest, werden bei bestimmten Stufen neue Eigenschaftsplätze freigeschaltet, die es dir ermöglichen, sie mit Handwerksmaterialien zu verzaubern und ihnen neue Eigenschaften zu verleihen, die die Funktionsweise des Zaubers verändern.\n\nDarüber hinaus wird durch die Erhöhung der Stufe eines Zauberedelsteins auch die Stärke all seiner Eigenschaften erhöht.\n\nZauberedelsteine können maximal Stufe 15 erreichen, aber du musst zuerst deinen Verzauberer aufwerten, um diese Grenze zu erreichen.",TERM:Spell Gem->Zauberstein; TERM:Spell Gems->Zaubersteine,,
164,You can remove a property from a Spell Gem by choosing the [menu_gems_disenchantgem] Disenchant option at the Enchanter.,"Du kannst eine Eigenschaft von einem Zauberedelstein entfernen, indem du die [menu_gems_disenchantgem] Entzaubern-Option beim Verzauberer wählst.",TERM:Spell Gem->Zauberstein,,
165,"Some spells belong to one of three special categories: Arsenal, Booze, or Ultimate.\n\nArsenal spells behave like normal spells, but interact with certain traits in unique ways.\n\nBooze spells cannot be cast manually, but have a small chance to be cast automatically at the end of the equipped creature's turn.\n\nUltimate spells are extremely powerful spells that are exclusive to Avatar creatures. These spells have only 1 {STAT_charge}, but re-charge after each battle.","Einige Zauber gehören zu einer von drei besonderen Kategorien: Arsenal, Schnaps oder Ultimate.\n\nArsenal-Zauber verhalten sich wie normale Zauber, interagieren aber auf einzigartige Weise mit bestimmten Eigenschaften.\n\nSchnaps-Zauber können nicht manuell gewirkt werden, haben aber eine geringe Chance, am Ende des Zuges der ausgerüsteten Kreatur automatisch gewirkt zu werden.\n\nUltimate-Zauber sind extrem mächtige Zauber, die Avatar-Kreaturen vorbehalten sind. Diese Zauber haben nur 1 {STAT_charge}, laden sich aber nach jedem Kampf wieder auf.",TERM:Traits->Merkmale,,
175,"Artifact Materials can be socketed into your Artifacts to grant them new bonuses. There are three types of Artifact Materials: Stat Materials, Trick Materials, and Trait Materials. Each type of material must be socketed into the correct, corresponding slot on an Artifact. For example, Stat Materials can be socketed into Stat Slots, but not into Trick Slots.","Artefaktmaterialien können in deine Artefakte eingesetzt werden, um ihnen neue Boni zu verleihen. Es gibt drei Arten von Artefaktmaterialien: Statusmaterialien, Trickmaterialien und Eigenschaftsmaterialien. Jede Art von Material muss in den richtigen, entsprechenden Slot eines Artefakts eingesetzt werden. Zum Beispiel können Statusmaterialien in Statusslots eingesetzt werden, aber nicht in Trickslots.",TERM:Trait->Merkmal,,
177,"Nether Stones are among the rarest items in the game. They can be socketed into an Artifact's Nether Slot to grant them unimaginable power. While some Nether Stones can be relatively weak, others are incredibly powerful. Some Nether Stones can grant your creatures multiple traits along with massive stat boosts, on-damage effects, and much more. A Nether Stone's rarity is shown next to its name. The higher the number, the rarer it is.","Nether-Steine gehören zu den seltensten Gegenständen im Spiel. Sie können in den Nether-Slot eines Artefakts eingesetzt werden, um ihnen unvorstellbare Macht zu verleihen. Während einige Nether-Steine relativ schwach sein können, sind andere unglaublich mächtig. Manche Nether-Steine können deinen Kreaturen mehrere Eigenschaften zusammen mit massiven Statuswerten, Effekten bei Schaden und vielem mehr verleihen. Die Seltenheit eines Nether-Steins wird neben seinem Namen angezeigt. Je höher die Zahl, desto seltener ist er.",TERM:Traits->Merkmale,,
179,"Spell Gems can be equipped to your creatures to allow them to cast spells in battle. For more information, please see the [library_spell_gems]Spell Gems section of the Codex.","Zauber-Edelsteine können an deine Kreaturen ausgerüstet werden, damit sie im Kampf Zauber wirken können. Weitere Informationen findest du im [library_spell_gems]Zauber-Edelsteine-Abschnitt des Kodex.",TERM:Spell Gems->Zaubersteine,,
186,"You can use the [battle_inspect] Inspect option in battle to view vital information about enemies, including their stats, traits, artifacts, spell gems, buffs, debuffs, minions, and more.","Du kannst die [battle_inspect] Untersuchen-Option im Kampf nutzen, um wichtige Informationen über Feinde einzusehen, einschließlich ihrer Werte, Eigenschaften, Artefakte, Zaubergems, Buffs, Debuffs, Schergen und mehr.",TERM:Traits->Merkmale; TERM:Spell Gems->Zaubersteine,,
