file,line,check,english,german
codex.csv,166,POTENCY,"[font_14]""Spell Potency"" refers to the strength of a spell's damage, healing, and stat changes. Typically, a spell's potency scales with the caster's {STAT_intelligence} unless the spell description states otherwise. Many spell descriptions include phrases such as ""deals a small amount of damage"". Below is a list of how much {STAT_intelligence} is used for each tier of potency. Note that spell damage also penetrates a certain amount of your enemies' {STAT_defense}.\n\nSmall Damage: 90% Intelligence, -0% Defense\nModerate Damage: 110% Intelligence, -10% Defense\nLarge Damage: 120% Intelligence, -20% Defense\nMassive Damage: 130% Intelligence, -30% Defense\nDevastating Damage: 150% Intelligence, -40% Defense\n\nSmall Healing: 30% Intelligence\nModerate Healing: 60% Intelligence\nLarge Healing: 90% Intelligence\nMassive Healing: 120% Intelligence\n\nSmall Stats: 20% Intelligence\nModerate Stats: 40% Intelligence\nLarge Stats: 60% Intelligence\nMassive Stats: 80% Intelligence[font_18]","[font_14]""Zauberwirksamkeit"" bezieht sich auf die Stärke des Schadens, der Heilung und der Statusänderungen eines Zaubers. Typischerweise skaliert die Wirksamkeit eines Zaubers mit der {STAT_intelligence} des Zaubernden, sofern in der Zauberbeschreibung nichts anderes angegeben ist. Viele Zauberbeschreibungen enthalten Ausdrücke wie ""verursacht eine kleine Menge Schaden"". Nachfolgend eine Liste, wie viel {STAT_intelligence} für jede Wirksamkeitsstufe verwendet wird. Beachte, dass Zauberschaden auch einen bestimmten Anteil der {STAT_defense} deiner Feinde durchdringt.\\n\\nGeringer Schaden: 90% Intelligenz, -0% Verteidigung\\nMäßiger Schaden: 110% Intelligenz, -10% Verteidigung\\nHoher Schaden: 120% Intelligenz, -20% Verteidigung\\nGewaltiger Schaden: 130% Intelligenz, -30% Verteidigung\\nVerheerender Schaden: 150% Intelligenz, -40% Verteidigung\\n\\nGeringe Heilung: 30% Intelligenz\\nMäßige Heilung: 60% Intelligenz\\nHohe Heilung: 90% Intelligenz\\nGewaltige Heilung: 120% Intelligenz\\n\\nGeringe Attribute: 20% Intelligenz\\nMäßige Attribute: 40% Intelligenz\\nHohe Attribute: 60% Intelligenz\\nGewaltige Attribute: 80% Intelligenz[font_18]"
codex.csv,191,OLD_MINION,"Creatures can attack, cast, receive buffs/debuffs/minions, gain stats, lose stats, take damage, and receive healing a maximum of 15 times per turn, or 5 times per turn when Calm Mode is enabled.\n\nEach creature can only resurrect up to 10 times per battle, or 5 times when Calm Mode is enabled.\n\nEach creature can gain a maximum of 10 traits in battle, or 3 traits when Calm Mode is enabled.\n\nRelics do not count against limits for buffs/debuffs/minions, stats gained, stats lost, times damage was taken, or times healing was received.","Kreaturen können pro Runde maximal 15 Mal angreifen, zaubern, Buffs/Debuffs/Lakaien erhalten, Attribute gewinnen, Attribute verlieren, Schaden nehmen und Heilung empfangen, oder 5 Mal pro Runde, wenn der Ruhige Modus aktiviert ist.\n\nJede Kreatur kann pro Kampf maximal 10 Mal wiederbelebt werden, oder 5 Mal, wenn der Ruhige Modus aktiviert ist.\n\nJede Kreatur kann im Kampf maximal 10 Merkmale erhalten, oder 3 Merkmale, wenn der Ruhige Modus aktiviert ist.\n\nRelikte zählen nicht gegen die Limits für Buffs/Debuffs/Lakaien, gewonnene Attribute, verlorene Attribute, erlittenen Schaden oder erhaltene Heilung."
codex.csv,204,POTENCY,"Creatures have five primary stats:\n\n{STAT_health}: creatures lose this when they take damage. If it reaches 0, they die.\n\n{STAT_attack}: increases damage dealt with attacks.\n\n{STAT_intelligence}: increases spell potency.\n\n{STAT_defense}: reduces incoming damage.\n\n{STAT_speed}: determines the creature's starting location on the Timeline. Also increases the creature's chance to dodge attacks, as well as the amount and chance of critical damage.","Kreaturen haben fünf primäre Attribute:\n\n{STAT_health}: Kreaturen verlieren dies, wenn sie Schaden erleiden. Wenn es 0 erreicht, sterben sie.\n\n{STAT_attack}: erhöht den Schaden, der durch Angriffe verursacht wird.\n\n{STAT_intelligence}: erhöht die Wirksamkeit von Zaubern.\n\n{STAT_defense}: reduziert eingehenden Schaden.\n\n{STAT_speed}: bestimmt die Startposition der Kreatur auf der Zeitleiste. Erhöht außerdem die Chance der Kreatur, Angriffen auszuweichen, sowie die Höhe und Wahrscheinlichkeit von kritischem Schaden."
codex.csv,287,OLD_STAT,Enemies lose fewer stats from stat-reducing effects.,Gegner verlieren weniger Attribute durch statuswertreduzierende Effekte.
codex.csv,317,POTENCY,Part of the spell's potency is based on the caster's {STAT_speed} instead of {STAT_intelligence}.,Ein Teil der Wirksamkeit des Zaubers basiert auf der {STAT_speed} des Zaubernden anstelle von {STAT_intelligence}.
codex.csv,318,POTENCY,Part of the spell's potency is based on the caster's {STAT_attack} instead of {STAT_intelligence}.,Ein Teil der Wirksamkeit des Zaubers basiert auf dem {STAT_attack} des Zauberwirkers anstelle von {STAT_intelligence}.
cards.csv,25,POTENCY,Doubles the potency of these effects.,Verdoppelt die Wirksamkeit dieser Effekte.
cards.csv,28,POTENCY,Doubles the potency of these effects.,Verdoppelt die Wirksamkeit dieser Effekte.
cards.csv,337,POTENCY,Doubles the potency of these effects.,Verdoppelt die Wirksamkeit dieser Effekte.
cards.csv,345,OLD_MINION,Your creatures' minions have a 5% lower chance to go away.,Deine Kreaturen-Lakaien haben eine 5% geringere Chance zu verschwinden.
cards.csv,370,POTENCY,Doubles the potency of these effects.,Verdoppelt die Wirksamkeit dieser Effekte.
cards.csv,376,POTENCY,Doubles the potency of these effects.,Verdoppelt die Wirksamkeit dieser Effekte.
