file,line,check,english,german
spells.csv,3,OLD_DEBUFF,Enemies are afflicted with a random debuff.,Feinde werden mit einem zufälligen Schwächungszauber belegt.
spells.csv,203,POTENCY,Extends the duration of the enemies' {CONDNAME_DEBUFF_BURNED} debuff by 1 turn and increases the debuff's potency by 100%.,Verlängert die Dauer des {CONDNAME_DEBUFF_BURNED}-Debuffs der Gegner um 1 Zug und erhöht die Wirksamkeit des Debuffs um 100%.
spells.csv,661,POTENCY,Caster gains a large amount of {STAT_speed} and {CONDNAME_BUFF_INVISIBLE}.  The potency is based on the caster's {STAT_defense} instead of {STAT_intelligence}. This spell is an {SPELL_equipment}.,Zaubernder erhält eine große Menge an {STAT_speed} und {CONDNAME_BUFF_INVISIBLE}. Die Wirksamkeit basiert auf der {STAT_defense} des Zaubernden anstatt auf {STAT_intelligence}. Dieser Zauber ist ein {SPELL_equipment}.
spells.csv,665,POTENCY,Caster gains a massive amount of {STAT_attack} and {CONDNAME_BUFF_SAVAGE}. The potency is based on the caster's {STAT_defense} instead of {STAT_intelligence}. This spell is an {SPELL_equipment}.,Der Zaubernde erhält eine enorme Menge an {STAT_attack} und {CONDNAME_BUFF_SAVAGE}. Die Wirksamkeit basiert auf der {STAT_defense} des Zaubernden anstelle von {STAT_intelligence}. Dieser Zauber ist ein {SPELL_equipment}.
spells.csv,671,POTENCY,Caster gains a massive amount of {STAT_defense} and {CONDNAME_BUFF_SHELL}. The potency is based on the caster's {STAT_defense} instead of {STAT_intelligence}. This spell is an {SPELL_equipment}.,Zaubernder erhält eine enorme Menge an {STAT_defense} und {CONDNAME_BUFF_SHELL}. Die Wirksamkeit basiert auf dem {STAT_defense} des Zaubernden anstelle von {STAT_intelligence}. Dieser Zauber ist ein {SPELL_equipment}.
spells.csv,697,POTENCY,"Caster's class is changed to {CLASS_Chaos}, it gains {CONDNAME_BUFF_TAUNT}, and it gains a moderate amount of {STAT_defense}. The potency is based on the caster's {STAT_defense} instead of {STAT_intelligence}. This spell is an {SPELL_equipment}.","Der Klasse des Zauberwirkers wird zu {CLASS_Chaos} geändert, er erhält {CONDNAME_BUFF_TAUNT} und einen moderaten Zuwachs an {STAT_defense}. Die Wirksamkeit basiert auf der {STAT_defense} des Zauberwirkers anstatt auf {STAT_intelligence}. Dieser Zauber ist ein {SPELL_equipment}."
spells.csv,699,POTENCY,"Caster's class is changed to {CLASS_Death}, it gains {CONDNAME_BUFF_LEECH}, and it gains a moderate amount of {STAT_defense}. The potency is based on the caster's {STAT_defense} instead of {STAT_intelligence}. This spell is an {SPELL_equipment}.","Der Klasse des Zauberwirkers wird zu {CLASS_Death} geändert, es erhält {CONDNAME_BUFF_LEECH} und einen moderaten Zuwachs an {STAT_defense}. Die Wirksamkeit basiert auf der {STAT_defense} des Zauberwirkers anstatt auf {STAT_intelligence}. Dieser Zauber ist ein {SPELL_equipment}."
spells.csv,701,POTENCY,"Caster's class is changed to {CLASS_Nature}, it gains {CONDNAME_BUFF_INVISIBLE}, and it gains a moderate amount of {STAT_defense}. The potency is based on the caster's {STAT_defense} instead of {STAT_intelligence}. This spell is an {SPELL_equipment}.","Der Klasse des Zauberwirkers wird zu {CLASS_Nature} geändert, es erhält {CONDNAME_BUFF_INVISIBLE} und einen moderaten Zuwachs an {STAT_defense}. Die Wirksamkeit basiert auf der {STAT_defense} des Zauberwirkers anstatt auf {STAT_intelligence}. Dieser Zauber ist ein {SPELL_equipment}."
spells.csv,703,POTENCY,"Caster's class is changed to {CLASS_Sorcery}, it gains {CONDNAME_BUFF_WARD}, and it gains a moderate amount of {STAT_defense}. The potency is based on the caster's {STAT_defense} instead of {STAT_intelligence}. This spell is an {SPELL_equipment}.","Der Klasse des Zauberwirkers wird zu {CLASS_Sorcery} geändert, erhält {CONDNAME_BUFF_WARD} und einen moderaten Zuwachs an {STAT_defense}. Die Wirksamkeit basiert auf der {STAT_defense} des Zauberwirkers anstatt auf {STAT_intelligence}. Dieser Zauber ist ein {SPELL_equipment}."
spells.csv,705,POTENCY,"Caster's class is changed to {CLASS_Life}, it gains {CONDNAME_BUFF_PROTECT}, and it gains a moderate amount of {STAT_defense}. The potency is based on the caster's {STAT_defense} instead of {STAT_intelligence}. This spell is an {SPELL_equipment}.","Die Klasse des Zauberwirkers wird zu {CLASS_Life} geändert, es erhält {CONDNAME_BUFF_PROTECT} und einen moderaten Zuwachs an {STAT_defense}. Die Wirksamkeit basiert auf der {STAT_defense} des Zauberwirkers anstatt auf {STAT_intelligence}. Dieser Zauber ist ein {SPELL_equipment}."
spells.csv,787,POTENCY,Potency of the target's {CONDNAME_DEBUFF_BOMB} is increased by 80% of the caster's {STAT_speed}.,Die Wirksamkeit des {CONDNAME_DEBUFF_BOMB} des Ziels wird um 80% der {STAT_speed} des Zaubernden erhöht.
spells.csv,791,POTENCY,"Target takes a small amount of damage. Then, it takes damage equal to the potency of its {CONDNAME_DEBUFF_BOMB} and this debuff is removed.",Ziel erleidet geringen Schaden. Dann erleidet es Schaden in Höhe der Wirksamkeit seines {CONDNAME_DEBUFF_BOMB} und dieser Debuff wird entfernt.
spells.csv,997,POTENCY,Increases the duration of enemies' {CONDNAME_DEBUFF_BURNED} and {CONDNAME_DEBUFF_POISON} debuffs by 3 turns and increases their potency by 50%.,Erhöht die Dauer der {CONDNAME_DEBUFF_BURNED}- und {CONDNAME_DEBUFF_POISON}-Debuffs von Gegnern um 3 Runden und steigert ihre Wirksamkeit um 50%.
spells.csv,1271,STACKING,Target's next attack deals 100% more damage. This effect does not stack.,Das nächste Angriff des Ziels verursacht 100% mehr Schaden. Dieser Effekt ist nicht stapelbar.
