line,english,german,issues,reviewed,replacement
1371,Minion Accelerator,Schergen-Beschleuniger,TERM:Minion->Diener,,
1450,Trait Launcher,Eigenschaftswerfer,TERM:Trait->Merkmal,,
1477,Minion Master Staff,Stab des Schergenmeister,TERM:Minion->Diener,,
1684,Crafting Material (Spell Gems),Handwerksmaterial (Zauberedelsteine),TERM:Spell Gems->Zaubersteine,,
1695,This item can be taken to the Enchanter to add the following property to your Spell Gems:\n\nMagnetic: the spell's potency is increased by 15% for each creature in your party with that same spell equipped.,"Dieser Gegenstand kann zum Verzauberer gebracht werden, um deinen Zaubersteinen folgende Eigenschaft hinzuzufügen:\n\nMagnetisch: Die Wirksamkeit des Zaubers wird um 15% für jedes Mitglied deiner Gruppe erhöht, das denselben Zauber ausgerüstet hat.",TERM:Creature->Kreatur,,
1696,This item can be taken to the Enchanter to add the following property to your Spell Gems:\n\nChance to Attack After Use,"Dieser Gegenstand kann zum Verzauberer gebracht werden, um deinen Zauberedelsteinen folgende Eigenschaft hinzuzufügen:\n\nChance auf Angriff nach Verwendung",TERM:Spell Gems->Zaubersteine,,
1699,This item can be taken to the Enchanter to add the following property to your Spell Gems:\n\nCasts On Extra Target,"Dieser Gegenstand kann zum Verzauberer gebracht werden, um deinen Zauberedelsteinen folgende Eigenschaft hinzuzufügen:\n\nWirkt auf zusätzliches Ziel",TERM:Spell Gems->Zaubersteine,,
1700,This item can be taken to the Enchanter to add the following property to your Spell Gems:\n\nChance to Provoke After Use,"Dieser Gegenstand kann zum Verzauberer gebracht werden, um deinen Zauberedelsteinen folgende Eigenschaft hinzuzufügen:\n\nChance auf Provokation nach Gebrauch",TERM:Spell Gems->Zaubersteine,,
1769,"Unlocks the accessory, ""{1}"". You can equip an accessory to a creature at the Enchanted Wardrobe in {2}.\n\nThis item is automatically consumed when you pick it up.","Schaltet das Accessoire „{1}"" frei. Du kannst ein Accessoire an einem Wesen im Verzauberten Kleiderschrank in {2} ausrüsten.\n\nDieser Gegenstand wird automatisch verbraucht, wenn du ihn aufhebst.",TERM:Creature->Kreatur,,
1776,\n\nYou need 5 of these materials to use them for Socketing.,"Du benötigst 5 dieser Materialien, um sie für die Sockelung zu verwenden.",TOKEN_MISMATCH,,
1777,\n\nYou need 3 of these materials to use them for Socketing.,"Du benötigst 3 dieser Materialien, um sie für die Sockelung zu verwenden.",TOKEN_MISMATCH,,
1778,Socket an Artifact's [slot_trait] Trait Slot with this item to gain this trait:\n\n,"Sockle diesen Gegenstand in den [slot_trait]-Eigenschaftsplatz eines Artefakts ein, um diese Eigenschaft zu erhalten:\n\n",TERM:Trait->Merkmal,,
2943,Death Creature Core,Todeskreaur-Kern,TERM:Creature->Kreatur,,
2945,Nature Creature Core,Naturwesen-Kern,TERM:Creature->Kreatur,,
2946,Sorcery Creature Core,Zauberwesen-Kern,TERM:Creature->Kreatur,,
2983,Phantom Spell Gem,Phantomzauber-Edelstein,TERM:Spell Gem->Zauberstein,,
