line,english,german,issues,reviewed,replacement
31,"Your creatures always have {CONDNAME_BUFF_AGILE}, and their {CONDNAME_BUFF_AGILE} buff has a <5>% greater chance to activate.\n\n{CONDDESC_BUFF_AGILE}","Deine Kreaturen haben immer {CONDNAME_BUFF_AGILE}, und ihr {CONDNAME_BUFF_AGILE}-Buff hat eine <5>% höhere Aktivierungschance.\n\n{CONDDESC_BUFF_AGILE}",TERM:Buff->Stärkung,,
61,"After your creatures gain a buff, your Animatus gains that buff as well.","Nachdem deine Kreaturen einen Buff erhalten, erhält dein Animatus diesen Buff ebenfalls.",TERM:Buff->Stärkung,,
97,Your creatures' {CONDNAME_BUFF_SAVAGE} buff now causes them to have a 100% chance to deal critical damage.\n\n{CONDDESC_BUFF_SAVAGE},"Deine Kreaturen haben durch den Buff {CONDNAME_BUFF_SAVAGE} nun eine 100%ige Chance, kritischen Schaden zu verursachen.\n\n{CONDDESC_BUFF_SAVAGE}",TOKEN_MISMATCH; TERM:Buff->Stärkung,,
107,"After your creatures {ACTION_attack}, they have a <1>% chance to afflict the target with a random debuff.","Nachdem deine Kreaturen {ACTION_attack}, haben sie eine <1>%-Chance, das Ziel mit einem zufälligen Debuff zu belegen.",TERM:Debuff->Schwächung,,
111,"After your creatures attack, they have a <1>% chance to cast [icons,1968]Flamestrike.","Nachdem deine Kreaturen angreifen, haben sie eine <1>% Chance, [icons,1968]Flammenschlag zu wirken.",TERM:Attack->Angriff,,
113,"When your creatures afflict enemies with {CONDNAME_DEBUFF_BURNED}, their {STAT_attack} is used to determine the potency of this debuff if it is higher than their {STAT_intelligence}.\n\n{CONDDESC_DEBUFF_BURNED}","Wenn deine Kreaturen Feinde mit {CONDNAME_DEBUFF_BURNED} belegen, wird ihr {STAT_attack} verwendet, um die Stärke dieses Debuffs zu bestimmen, falls dieser höher ist als ihre {STAT_intelligence}.\n\n{CONDDESC_DEBUFF_BURNED}",TERM:Debuff->Schwächung,,
173,"When your creatures deal damage with an attack or spell, they deal 30% more damage for each debuff and Sealed Spell Gem the enemy has.","Wenn deine Kreaturen Schaden mit einem Angriff oder Zauber verursachen, fügen sie 30% mehr Schaden für jeden Debuff und jedes Versiegelte Zauberedelstein zu, den der Feind hat.",TERM:Debuff->Schwächung,,
175,Your creatures' damage from attacks and spells ignores <2.5>% of the enemies' {STAT_defense}.,Deine Kreaturen ignorieren mit ihren Angriffen und Zaubern <2.5>% der {STAT_defense} der Feinde.,TERM:Damage->Schaden,,
187,"After your creatures are healed, they have a <2>% chance to gain a random buff.","Nachdem deine Kreaturen geheilt wurden, haben sie eine <2>% Chance, einen zufälligen Buff zu erhalten.",TERM:Buff->Stärkung,,
201,Your creatures deal <1>% more damage for each buff they have.,"Deine Kreaturen verursachen <1>% mehr Schaden für jeden Buff, den sie haben.",TERM:Buff->Stärkung,,
203,Your creatures take <1>% less damage for each buff they have.,"Deine Kreaturen erleiden <1>% weniger Schaden für jeden Buff, den sie haben.",TERM:Buff->Stärkung,,
227,"At the start of battle, enemies are afflicted with <1>  random debuff(s).",Zu Beginn des Kampfes werden Gegner mit <1> zufälligen Debuff(s) belegt.,TERM:Debuff->Schwächung,,
229,"After your creatures afflict enemies with a debuff, they deal damage to them equal to 80% of their lowest stat.","Nachdem deine Kreaturen Feinde mit einem Debuff belegen, fügen sie ihnen Schaden in Höhe von 80% ihres niedrigsten Attributs zu.",TERM:Debuff->Schwächung,,
243,Enemies deal 5% less damage for each debuff they have.,"Feinde verursachen 5% weniger Schaden für jeden Debuff, den sie haben.",TERM:Debuff->Schwächung,,
245,Enemies take 10% more damage for each debuff they have.,"Feinde erleiden 10% mehr Schaden für jeden Debuff, den sie haben.",TERM:Debuff->Schwächung,,
309,"At the start of battle, your creatures gain a random buff for each creature missing from your group.",Zu Beginn des Kampfes erhalten deine Kreaturen einen zufälligen Buff für jede fehlende Kreatur in deiner Gruppe.,TERM:Buff->Stärkung,,
331,"At the start of battle, your creatures gain a random buff for each creature that belongs to the same race fighting on your side. Maximum of 6 buffs.","Zu Beginn des Kampfes erhalten deine Kreaturen einen zufälligen Buff für jede Kreatur derselben Rasse, die auf deiner Seite kämpft. Maximal 6 Buffs.",TERM:Buff->Stärkung,,
369,Your creatures deal 2% more damage and take 1.5% less damage for each debuff each enemy has.,"Deine Kreaturen verursachen 2% mehr Schaden und erleiden 1,5% weniger Schaden für jeden Debuff, den jeder Gegner hat.",TERM:Debuff->Schwächung,,
391,"After your creatures cast an [temporary]Ethereal Spell Gem, they gain a random buff.","Nachdem deine Kreaturen ein [temporary]Ätherisches Zauber-Juwel wirken, erhalten sie einen zufälligen Buff.",TERM:Buff->Stärkung,,
393,"After your creatures cast an [temporary]Ethereal Spell Gem, <1>  enemy(s) are afflicted with a random debuff.","Nachdem deine Kreaturen einen [temporary]Ätherischen Zauberedelstein wirken, werden <1> Feind(e) mit einem zufälligen Debuff belegt.",TERM:Debuff->Schwächung,,
481,"At the start of battle, your creatures' {STAT_health} is set to 50% and they gain <1>  random buff(s).",Zu Beginn des Kampfes wird die {STAT_health} deiner Kreaturen auf 50% gesetzt und sie erhalten <1> zufälligen Buff(s).,TERM:Buff->Stärkung,,
499,"Your creatures always have {CONDNAME_DEBUFF_BURNED}. Instead of taking damage from this debuff, they are healed by it.","Deine Kreaturen haben immer {CONDNAME_DEBUFF_BURNED}. Anstatt durch diesen Debuff Schaden zu erleiden, werden sie dadurch geheilt.",TERM:Debuff->Schwächung,,
501,"After your creatures are damaged or healed by {CONDNAME_DEBUFF_BURNED}, they gain {CONDNAME_BUFF_SHELL}. Your creatures' {CONDNAME_BUFF_SHELL} ignores the {CONDNAME_DEBUFF_BURNED} debuff.\n\n{CONDDESC_BUFF_SHELL}","Nachdem deine Kreaturen durch {CONDNAME_DEBUFF_BURNED} Schaden erlitten oder geheilt wurden, erhalten sie {CONDNAME_BUFF_SHELL}. Der {CONDNAME_BUFF_SHELL} deiner Kreaturen ignoriert den {CONDNAME_DEBUFF_BURNED}-Debuff.\n\n{CONDDESC_BUFF_SHELL}",TERM:Debuff->Schwächung,,
521,"After an enemy with {CONDNAME_DEBUFF_BURNED} is killed, enemies take damage equal to <5>% of the potency of that creature's {CONDNAME_DEBUFF_BURNED} debuff.","Nachdem ein Feind mit {CONDNAME_DEBUFF_BURNED} getötet wurde, erleiden Feinde Schaden in Höhe von <5>% der Wirksamkeit des {CONDNAME_DEBUFF_BURNED}-Debuffs dieser Kreatur.",TERM:Debuff->Schwächung,,
581,Your creatures' Rune spells afflict enemies with a debuff which differs based on which spell it is.,"Deine Kreaturen-Runenzauber belegen Feinde mit einem Debuff, der je nach Zauber unterschiedlich ist.",TERM:Debuff->Schwächung,,
589,Your creatures' Rune spells grant them a buff which differs based on which spell it is.,"Deine Kreaturen erhalten durch ihre Runenzauber einen Buff, der je nach Zauber unterschiedlich ist.",TERM:Buff->Stärkung,,
625,You can have <1>  additional {RACE_Avatar} creature(s) in your party.,Du kannst <1> zusätzliche(s) {RACE_Avatar}-Wesen in deiner Gruppe haben.,TERM:Creature->Kreatur,,
667,"After one of your creatures is afflicted with a debuff, your Herbling {ACTION_casts} [icons,1976]Nutrition on it. This perk can activate once per turn.","Nachdem eines deiner Kreaturen mit einem Debuff belegt wurde, {ACTION_casts} dein Herbling [icons,1976]Ernährung auf sie. Dieser Vorteil kann einmal pro Zug aktiviert werden.",TERM:Debuff->Schwächung,,
669,"Your Herbling always has an additional buff for each Tier it has: {CONDNAME_BUFF_AGILE}, {CONDNAME_BUFF_SAVAGE}, {CONDNAME_BUFF_LEECH}, {CONDNAME_BUFF_SPLASH}, {CONDNAME_BUFF_BERSERK}, and {CONDNAME_BUFF_ARCANE}.","Dein Herbling hat immer einen zusätzlichen Buff für jede Stufe, die er besitzt: {CONDNAME_BUFF_AGILE}, {CONDNAME_BUFF_SAVAGE}, {CONDNAME_BUFF_LEECH}, {CONDNAME_BUFF_SPLASH}, {CONDNAME_BUFF_BERSERK} und {CONDNAME_BUFF_ARCANE}.",TERM:Buff->Stärkung,,
675,"If your Herbling is the first creature in your party, it {ACTION_provokes} at the end of its turn. If your Herbling is the sixth creature in your party, it {ACTION_defends} at the end of its turn.","Wenn dein Herbling das erste Wesen in deiner Gruppe ist, {ACTION_provokes} es am Ende seines Zuges. Wenn dein Herbling das sechste Wesen in deiner Gruppe ist, {ACTION_defends} es am Ende seines Zuges.",TERM:Creature->Kreatur,,
683,"After your creatures manually {ACTION_cast} a {CLASS_Death} spell, you gain 1 [infusion_death]Death Infusion. After any of your creatures manually {ACTION_cast} a spell, they afflict enemies with 1 random debuff as long as you have at least 1 [infusion_death]Death Infusion, plus 1 additional random debuff for every 3 [infusion_death]Death Infusions you have beyond that.","Nachdem deine Kreaturen manuell einen {CLASS_Death} Zauber {ACTION_cast}, erhältst du 1 [infusion_death]Todesinfusion. Nachdem eine deiner Kreaturen manuell einen Zauber {ACTION_cast}, fügen sie Feinden 1 zufälligen Debuff zu, solange du mindestens 1 [infusion_death]Todesinfusion hast, plus 1 zusätzlichen zufälligen Debuff für jeweils 3 [infusion_death]Todesinfusionen, die du darüber hinaus besitzt.",TERM:Debuff->Schwächung,,
689,"After your creatures manually {ACTION_cast} a {CLASS_Sorcery} spell, you gain 1 [infusion_sorcery]Sorcery Infusion. When any of your creatures manually {ACTION_cast} a spell, your creatures gain 1 random buff as long as you have at least 1 [infusion_sorcery]Sorcery Infusion, plus 1 additional random buff for every 3 [infusion_sorcery]Sorcery Infusions you have beyond that.","Nachdem deine Kreaturen manuell eine {CLASS_Sorcery} Zauberformel {ACTION_cast}, erhältst du 1 [infusion_sorcery]Zauberinfusion. Wenn eine deiner Kreaturen manuell einen Zauber {ACTION_cast}, erhalten deine Kreaturen 1 zufälligen Buff, solange du mindestens 1 [infusion_sorcery]Zauberinfusion hast, plus 1 zusätzlichen zufälligen Buff für jeweils 3 [infusion_sorcery]Zauberinfusionen, die du darüber hinaus besitzt.",TERM:Buff->Stärkung,,
