line,check,english,german
123,STACKING,"After your creatures {ACTION_attack}, and the attack fails to deal critical damage, their chance to deal critical damage with attacks is doubled on their next turn. This effect stacks multiple times in a row until the creature deals critical damage with attacks.","Nachdem deine Kreaturen {ACTION_attack} und der Angriff keinen kritischen Schaden verursacht, verdoppelt sich ihre Chance, bei ihrem nächsten Zug kritischen Schaden mit Angriffen zu verursachen. Dieser Effekt stapelt sich mehrmals hintereinander, bis die Kreatur kritischen Schaden mit Angriffen verursacht."
125,STACKING,"After your creatures are {ACTION_attacked}, and they fail to dodge the attack, their chance to dodge attacks is doubled the next time they're {ACTION_attacked}. This effect stacks multiple times in a row until they successfully dodge an attack.","Nachdem deine Kreaturen {ACTION_attacked} wurden und es ihnen nicht gelungen ist, dem Angriff auszuweichen, verdoppelt sich ihre Chance, Angriffen auszuweichen, wenn sie das nächste Mal {ACTION_attacked} werden. Dieser Effekt stapelt sich mehrmals hintereinander, bis sie erfolgreich einem Angriff ausweichen."
199,POTENCY,Increases the potency of your creatures' effects that increase their stats by <2>%.,"Erhöht die Wirksamkeit der Effekte deiner Kreaturen, die ihre Werte steigern, um <2>%."
217,POTENCY,Increases the potency of your creatures' effects that decrease enemies' stats by <2>%.,"Erhöht die Wirksamkeit der Effekte deiner Kreaturen, die die Werte von Feinden um <2>% verringern."
219,OLD_STAT,Decreases the potency of enemies' effects that increase their stats by <2>%.,"Verringert die Wirksamkeit von Effekten der Gegner, die ihre Statuswerte erhöhen, um <2>%."
219,POTENCY,Decreases the potency of enemies' effects that increase their stats by <2>%.,"Verringert die Wirksamkeit von Effekten der Gegner, die ihre Statuswerte erhöhen, um <2>%."
249,OLD_MINION,Enemies' buffs last for only 1 turn and their minions have double the chance to leave battle.,"Gegner-Buffs halten nur 1 Runde an und ihre Schergen haben die doppelte Chance, den Kampf zu verlassen."
441,OLD_MINION,"At the start of your creatures' turns, their minions gain 1 additional stack.",Zu Beginn der Züge deiner Kreaturen erhalten ihre Schergen 1 zusätzlichen Stapel.
443,OLD_MINION,Your creatures' minions are <2>% less likely to go away.,Deine Kreaturen-Schergen haben eine <2>% geringere Wahrscheinlichkeit zu verschwinden.
463,OLD_MINION,Your creatures' minions persist beyond their master's death.,Deine Kreaturen-Lakaien überdauern den Tod ihres Meisters.
473,OLD_STAT,Your creatures' stats are no longer reset after they're killed.,"Deine Kreaturen verlieren ihre Statuswerte nicht mehr, nachdem sie getötet wurden."
477,POTENCY,The potency of your creatures' spells is based on 50% of their Maximum {STAT_health} instead of their {STAT_intelligence}.,Die Wirksamkeit der Zauber deiner Kreaturen basiert auf 50% ihrer maximalen {STAT_health} anstatt auf ihrer {STAT_intelligence}.
507,POTENCY,Your creatures' spells that interact with {CONDNAME_DEBUFF_BURNED} have <5>% more potency.,"Eure Kreaturen-Zauber, die mit {CONDNAME_DEBUFF_BURNED} interagieren, haben <5>% mehr Wirksamkeit."
509,POTENCY,"After your creatures are damaged or healed by {CONDNAME_DEBUFF_BURNED}, the potency of all creatures' {CONDNAME_DEBUFF_BURNED} debuffs increases by <2>%.","Nachdem deine Kreaturen durch {CONDNAME_DEBUFF_BURNED} Schaden erlitten oder geheilt wurden, erhöht sich die Wirksamkeit aller {CONDNAME_DEBUFF_BURNED}-Schwächungszauber der Kreaturen um <2>%."
515,POTENCY,Your creatures deal additional damage equal to <1>% of the potency of their {CONDNAME_DEBUFF_BURNED} debuff.,Deine Kreaturen verursachen zusätzlichen Schaden in Höhe von <1>% der Wirksamkeit ihres {CONDNAME_DEBUFF_BURNED}-Schwächungszaubers.
521,POTENCY,"After an enemy with {CONDNAME_DEBUFF_BURNED} is killed, enemies take damage equal to <5>% of the potency of that creature's {CONDNAME_DEBUFF_BURNED} debuff.","Nachdem ein Feind mit {CONDNAME_DEBUFF_BURNED} getötet wurde, erleiden Feinde Schaden in Höhe von <5>% der Wirksamkeit des {CONDNAME_DEBUFF_BURNED}-Debuffs dieser Kreatur."
555,OLD_MINION,"If your creatures have at least 7 different minions, their attacks instantly kill enemies in non-boss battles, and deal 100% more damage in boss battles.","Wenn deine Kreaturen mindestens 7 verschiedene Lakaien haben, töten ihre Angriffe Feinde in Nicht-Boss-Kämpfen sofort und verursachen in Boss-Kämpfen 100% mehr Schaden."
575,OLD_STAT,"Your creatures gain and reduce stats <1>% more for each time your creatures {ACTION_cast} [icons,1984]Rune of Dun in the current battle.","Deine Kreaturen erhalten und verlieren <1>% mehr Statuswerte für jedes Mal, wenn deine Kreaturen {ACTION_cast} [icons,1984]Rune von Dun im aktuellen Kampf."
593,POTENCY,Your dead creatures {ACTION_cast} one of their spells with <10>% more potency every 5 turns.,Deine toten Kreaturen {ACTION_cast} einen ihrer Zauber mit <10>% mehr Wirksamkeit alle 5 Runden.
637,POTENCY,Your creatures' {SPELL_ultimate} Gems have <10>% more potency.,Deine Kreaturen' {SPELL_ultimate} Edelsteine haben <10>% mehr Wirksamkeit.
651,OLD_STAT,"Your Herbling has 3% more stats (other than {STAT_health}) for each time it has received healing, gained stats, received buffs or minions, or has been resurrected in battle. Every 15% stats earned through this perk causes the Herbling to evolve to a higher Tier at the start of its turn.","Dein Herbling hat 3% mehr Statuswerte (außer {STAT_health}) für jedes Mal, wenn er Heilung erhalten, Statuswerte gewonnen, Buffs oder Diener erhalten hat oder im Kampf wiederbelebt wurde. Für jeweils 15% Statuswerte, die durch diesen Vorteil erworben wurden, entwickelt sich der Herbling zu Beginn seines Zuges zu einer höheren Stufe."
659,OLD_STAT,"At the start of your Herbling's turn, enemies lose stats equal to <1>% of your Herbling's stats for each Tier it has.","Zu Beginn des Zuges deines Herblings verlieren Feinde Statuswerte in Höhe von <1>% der Statuswerte deines Herblings für jede Stufe, die es hat."
