line,english,german,issues,reviewed,replacement
43,Target's Spell Gems are Sealed for the rest of the battle.,Zielzauberedelsteine sind für den Rest des Kampfes versiegelt.,TERM:Spell Gems->Zaubersteine,,
45,Your creatures gain a random trait.,Deine Kreaturen erhalten eine zufällige Eigenschaft.,TERM:Trait->Merkmal,,
227,Enemies' [temporary] Ethereal Spell Gems are Sealed.,Gegner' [temporary] Ätherische Zauber-Edelsteine sind Versiegelt.,TERM:Spell Gems->Zaubersteine,,
411,Caster gains the target's trait.,Zaubernder erhält die Eigenschaft des Ziels.,TERM:Trait->Merkmal,,
481,Target loses access to the extra traits it gained during battle.,"Ziel verliert Zugriff auf die zusätzlichen Eigenschaften, die es während des Kampfes erlangt hat.",TERM:Traits->Merkmale,,
499,"Caster gains a random trait. This spell cannot be cast manually, but has a 50% chance to cast when the caster {ACTION_defends} or {ACTION_provokes}.","Der Zaubernde erhält eine zufällige Eigenschaft. Dieser Zauber kann nicht manuell gewirkt werden, hat aber eine 50% Chance, ausgelöst zu werden, wenn der Zaubernde {ACTION_defends} oder {ACTION_provokes}.",TERM:Trait->Merkmal,,
509,"Each of the caster's other, permanent Spell Gems have a 30% chance to be {ACTION_cast}. Maximum of 3 spells can be {ACTION_cast}.","Jeder andere, permanente Zauberedelstein des Zauberwirkers hat eine 30% Chance, {ACTION_cast} zu werden. Maximal 3 Zauber können {ACTION_cast} werden.",TERM:Spell Gems->Zaubersteine,,
565,"Caster transforms into a random {CLASS_Nature} creature with 100% {STAT_health}. Then, this Spell Gem is Sealed. This spell cannot be cast manually, but has a 100% chance to cast when this creature takes damage while it is below 25% {STAT_health}.","Zaubernder verwandelt sich in eine zufällige {CLASS_Nature}-Kreatur mit 100% {STAT_health}. Dann wird dieser Zauberedelstein Versiegelt. Dieser Zauber kann nicht manuell gewirkt werden, hat aber eine 100%-ige Chance, gewirkt zu werden, wenn diese Kreatur Schaden erleidet, während sie unter 25% {STAT_health} ist.",TERM:Spell Gem->Zauberstein,,
577,Your creatures' Spell Gems are unsealed. This Spell Gem cannot be Sealed.,Deine Kreaturen-Zaubergems sind entsiegelt. Dieses Zaubergem kann nicht Versiegelt werden.,TERM:Spell Gem->Zauberstein; TERM:Spell Gems->Zaubersteine,,
581,Enemies' Spell Gems they've cast in the current battle are Sealed.,"Zauber-Edelsteine, die Feinde im aktuellen Kampf eingesetzt haben, werden versiegelt.",TERM:Spell Gems->Zaubersteine,,
587,"Target's Spell Gems lose 1 {STAT_charge}, and the caster's other Spell Gems gain 1 {STAT_charge}.","Zielzauberedelsteine verlieren 1 {STAT_charge}, und die anderen Zauberedelsteine des Zauberwirkers erhalten 1 {STAT_charge}.",TERM:Spell Gems->Zaubersteine,,
591,Your creatures each gain a random Spell Gem.,Deine Kreaturen erhalten jeweils einen zufälligen Zauberedelstein.,TERM:Spell Gem->Zauberstein,,
601,The last 3 Spell Gems that were cast by any creature in the current battle are cast again in your favor.,"Die letzten 3 Zauber-Edelsteine, die von irgendeiner Kreatur in der aktuellen Schlacht gewirkt wurden, werden erneut zu deinen Gunsten gewirkt.",TERM:Spell Gems->Zaubersteine,,
611,The caster {ACTION_casts} 3 of the target's Spell Gems in your favor.,Der Zaubernde {ACTION_casts} 3 der Zauberedelsteine des Ziels zu deinen Gunsten.,TERM:Spell Gems->Zaubersteine,,
631,Caster {ACTION_casts} 2 of its permanent Spell Gems. This spell is a {SPELL_alcohol}.,Zauberer {ACTION_casts} 2 seiner permanenten Zauber-Edelsteine. Dieser Zauber ist ein {SPELL_alcohol}.,TERM:Spell Gems->Zaubersteine,,
645,Caster gains a random trait that belongs to its race. This spell is a {SPELL_alcohol}.,"Zaubernder erhält eine zufällige Eigenschaft, die seiner Rasse angehört. Dieser Zauber ist ein {SPELL_alcohol}.",TERM:Trait->Merkmal,,
647,Caster {ACTION_casts} the Spell Gem in its Artifact's Spell Slot. This spell is a {SPELL_alcohol}.,Zaubernde {ACTION_casts} den Zauberedelstein im Zauberplatz des Artefakts. Dieser Zauber ist ein {SPELL_alcohol}.,TERM:Spell Gem->Zauberstein,,
675,Your creatures' Spell Gems are unsealed and their {CONDNAME_DEBUFF_SILENCE} debuffs are removed. This spell is an {SPELL_equipment}.,Deine Kreaturen werden von ihren Zauberedelsteinen entsiegelt und ihre {CONDNAME_DEBUFF_SILENCE}-Debuffs werden entfernt. Dieser Zauber ist ein {SPELL_equipment}.,TERM:Spell Gems->Zaubersteine,,
683,Caster's Spell Gems do not consume {STAT_charges} for the rest of the battle. This spell is an {SPELL_equipment}.,Zauberedelsteine des Zauberwirkers verbrauchen für den Rest des Kampfes keine {STAT_charges}. Dieser Zauber ist ein {SPELL_equipment}.,TERM:Spell Gems->Zaubersteine,,
711,"Target takes a moderate amount of damage, plus 25% more damage for each [temporary] Ethereal Spell Gem it has.","Ziel erleidet eine moderate Menge Schaden, plus 25% mehr Schaden für jeden [temporary] Ätherischen Zauberedelstein, den es besitzt.",TERM:Spell Gem->Zauberstein,,
777,"Target gains {CONDNAME_BUFF_ARCANE}. If it already has {CONDNAME_BUFF_ARCANE}, it {ACTION_casts} a permanent Spell Gem.","Ziel erhält {CONDNAME_BUFF_ARCANE}. Falls es bereits {CONDNAME_BUFF_ARCANE} hat, {ACTION_casts} es einen permanenten Zauberedelstein.",TERM:Spell Gem->Zauberstein,,
783,"Enemies take a small amount of damage, plus 10% more damage for each [temporary] Ethereal Spell Gem the caster has, up to 200% extra damage.","Feinde erleiden einen geringen Schaden, plus 10% mehr Schaden für jeden [temporary] Ätherischen Zauberedelstein, den der Zauberwirker besitzt, bis zu maximal 200% zusätzlichem Schaden.",TERM:Spell Gem->Zauberstein,,
817,Target gains a random trait that belongs to a creature from its race.,"Ziel erhält eine zufällige Eigenschaft, die einer Kreatur seiner Rasse gehört.",TERM:Trait->Merkmal,,
829,"Target's [temporary] Ethereal Spell Gems are Sealed, and this creature gains a small amount of {STAT_intelligence} for each gem that was Sealed.","Ziele [temporary] Ätherische Zauberedelsteine werden Versiegelt, und diese Kreatur erhält eine kleine Menge an {STAT_intelligence} für jeden Edelstein, der Versiegelt wurde.",TERM:Spell Gems->Zaubersteine,,
855,"One of the caster's [temporary] Ethereal Spell Gems is Sealed. Then, enemies take damage equal to 5% of the caster's highest stat for each {STAT_charge} the Spell Gem has. This spell is an {SPELL_ultimate}.","Einer der [temporären] Ätherischen Zauberedelsteine des Zauberwirkers wird Versiegelt. Dann erleiden Feinde Schaden in Höhe von 5% des höchsten Wertes des Zauberwirkers für jede {STAT_charge}, die der Zauberedelstein besitzt. Dieser Zauber ist ein {SPELL_ultimate}.",TOKEN_MISMATCH; TERM:Spell Gem->Zauberstein; TERM:Spell Gems->Zaubersteine,,
901,"Your creatures gain a large amount of {STAT_attack} and {STAT_intelligence}, and a random {CLASS_Chaos} Spell Gem.",Deine Kreaturen erhalten eine große Menge an {STAT_attack} und {STAT_intelligence} sowie einen zufälligen {CLASS_Chaos}-Zauberedelstein.,TERM:Spell Gem->Zauberstein,,
957,One of the target's Spell Gems regenerates 100% of its {STAT_charges}.,Einer der Zaubergems des Ziels regeneriert 100% seiner {STAT_charges}.,TERM:Spell Gems->Zaubersteine,,
959,"Target takes a large amount of damage, plus 35% damage for each dead creature.","Ziel erleidet eine große Menge Schaden, plus 35% Schaden für jedes tote Wesen.",TERM:Creature->Kreatur,,
961,"One of the target's Spell Gems loses 100% of its {STAT_charges}, and enemies take damage equal to 7% of the target's {STAT_intelligence} for each {STAT_charge} removed.","Einer der Zauber-Edelsteine des Ziels verliert 100% seiner {STAT_charges}, und Feinde erleiden Schaden in Höhe von 7% der {STAT_intelligence} des Ziels für jede entfernte {STAT_charge}.",TERM:Spell Gems->Zaubersteine,,
963,Target's Spell Gems' {STAT_charges} are set to 35%.,Zielzauber-Edelsteine {STAT_charges} werden auf 35% gesetzt.,TERM:Spell Gems->Zaubersteine,,
965,"One of the target's Spell Gems loses 100% of its {STAT_charges}, and it gains {STAT_defense} equal to 7% of the caster's {STAT_intelligence} for each {STAT_charge} removed.","Einer der Zauber-Edelsteine des Ziels verliert 100% seiner {STAT_charges}, und es erhält {STAT_defense} in Höhe von 7% der {STAT_intelligence} des Zauberwirkers für jede entfernte {STAT_charge}.",TERM:Spell Gems->Zaubersteine,,
979,Caster {ACTION_casts} the Spell Gem in the target's Artifact's Spell Slot. This spell is even more impressive if you manage to read its description ten times fast out loud.,"Zauberwirker {ACTION_casts} das Zauber-Juwel in den Zauberplatz des Artefakts des Ziels. Dieser Zauber ist noch beeindruckender, wenn du es schaffst, seine Beschreibung zehnmal schnell hintereinander laut vorzulesen.",TERM:Spell Gem->Zauberstein,,
