line,english,german,issues,reviewed,replacement
2758,"If all the creatures in your party are {RACE_Basilisk}s, they have a 20% chance to avoid damage. In addition, their innate traits have a 25% chance to activate even if they took damage between their turns. This trait does not stack.","Wenn alle Kreaturen in deiner Gruppe {RACE_Basilisk}en sind, haben sie eine 20% Chance, Schaden zu vermeiden. Zusätzlich haben ihre angeborenen Eigenschaften eine 25% Chance zu aktivieren, selbst wenn sie zwischen ihren Zügen Schaden erlitten haben. Diese Merkmal ist nicht kumulativ.",TERM:Traits->Merkmale,,
2766,"If all the creatures in your party are {RACE_Carbuncle}s, their innate traits grow stronger twice as fast. This trait does not stack.","Wenn alle Kreaturen in deiner Gruppe {RACE_Carbuncle}s sind, werden ihre angeborenen Eigenschaften doppelt so schnell stärker. Diese Merkmal ist nicht kumulativ.",TERM:Traits->Merkmale,,
2782,"If all the creatures in your party are {RACE_Cruncher}s, they deal 10% more damage for each Sealed enemy Spell Gem. This trait does not stack.","Wenn alle Kreaturen in deiner Gruppe {RACE_Cruncher} sind, verursachen sie 10% mehr Schaden für jede versiegelte feindliche Zauberperle. Diese Merkmal ist nicht kumulativ.",TERM:Spell Gem->Zauberstein,,
2790,Increases the additional damage granted by your {RACE_Devil}s' innate traits from 200% to 300%.,"Erhöht den zusätzlichen Schaden, der durch die angeborenen Eigenschaften deiner {RACE_Devil}s gewährt wird, von 200% auf 300%.",TERM:Traits->Merkmale,,
2800,Your {RACE_Dragon}s' innate traits activate 1 additional time. This trait does not stack.,Deine {RACE_Dragon}s' angeborene Eigenschaften aktivieren sich 1 zusätzliches Mal. Diese Merkmal ist nicht kumulativ.,TERM:Traits->Merkmale,,
2818,"If all the creatures in your party are {RACE_Forsaken}, their innate traits have no downside.","Wenn alle Kreaturen in deiner Gruppe {RACE_Forsaken} sind, haben ihre angeborenen Eigenschaften keine Nachteile.",TERM:Traits->Merkmale,,
2844,Your {RACE_Hunter}s' innate traits repeat twice as many times. This trait does not stack.,Deine {RACE_Hunter} angeborenen Eigenschaften wiederholen sich doppelt so oft. Diese Merkmal ist nicht kumulativ.,TERM:Traits->Merkmale,,
2892,"If all the creatures in your party are {RACE_Pit Worm}s, their innate traits activate an additional time. This trait does not stack.","Wenn alle Kreaturen in deiner Gruppe {RACE_Pit Worm}s sind, aktivieren sich ihre angeborenen Eigenschaften ein zusätzliches Mal. Diese Merkmal ist nicht kumulativ.",TERM:Traits->Merkmale,,
2896,"If all the creatures in your party are {RACE_Plague Doctor}s, they gain the Drained trait at the start of battle.","Wenn alle Kreaturen in deiner Gruppe {RACE_Plague Doctor}s sind, erhalten sie zu Beginn des Kampfes die Eigenschaft Ausgelaugt.",TERM:Trait->Merkmal,,
2898,"If all the creatures in your party belong to the {RACE_Priest} race, their innate traits activate an additional time. This trait does not stack.","Wenn alle Kreaturen in deiner Gruppe zur Rasse {RACE_Priest} gehören, aktivieren sich ihre angeborenen Eigenschaften ein zusätzliches Mal. Diese Merkmal ist nicht kumulativ.",TERM:Traits->Merkmale,,
2902,Your {RACE_Reaper}s' traits now activate at 50% {STAT_health}.,Deine {RACE_Reaper}-Eigenschaften aktivieren sich jetzt bei 50% {STAT_health}.,TERM:Traits->Merkmale,,
2906,"If all the creatures in your party belong to the {RACE_Rift Dancer} race, their innate traits activate 1 additional time. This trait does not stack.","Wenn alle Kreaturen in deiner Gruppe zur Rasse {RACE_Rift Dancer} gehören, aktivieren sich ihre angeborenen Eigenschaften 1 zusätzliches Mal. Diese Merkmal ist nicht kumulativ.",TERM:Traits->Merkmale,,
2910,"If you have 6 different {RACE_Sanctus}es in your party, they gain 3 random {RACE_Sin} traits at the start of battle. This trait does not stack.","Wenn du 6 verschiedene {RACE_Sanctus} in deiner Gruppe hast, erhalten sie zu Beginn des Kampfes 3 zufällige {RACE_Sin}-Eigenschaften. Diese Merkmal ist nicht kumulativ.",TERM:Traits->Merkmale,,
2916,Your {RACE_Seraph}s share their innate traits with each other.,Deine {RACE_Seraph}s teilen ihre angeborenen Eigenschaften miteinander.,TERM:Traits->Merkmale,,
2924,"If you have 6 different {RACE_Sin}s in your party, they gain 3 random {RACE_Sanctus} traits at the start of battle. This trait does not stack.","Wenn du 6 verschiedene {RACE_Sin}s in deiner Gruppe hast, erhalten sie zu Beginn des Kampfes 3 zufällige {RACE_Sanctus}-Eigenschaften. Diese Merkmal ist nicht kumulativ.",TERM:Traits->Merkmale,,
2932,"At the start of battle, if all the creatures in your party are {RACE_Smith}s, they share their Artifact's trait with the creature to the left.","Zu Beginn des Kampfes, wenn alle Kreaturen in deiner Gruppe {RACE_Smith}s sind, teilen sie die Eigenschaft ihres Artefakts mit der Kreatur links von ihnen.",TERM:Trait->Merkmal,,
