line,check,english,german
117,POTENCY,"If this creature has {ACTION_provoked} at least one time this battle, its spells no longer consume {STAT_charges} and have 50% more potency.","Wenn diese Kreatur in diesem Kampf mindestens einmal {ACTION_provoked} hat, verbrauchen ihre Zauber keine {STAT_charges} mehr und haben 50% mehr Wirksamkeit."
143,POTENCY,"At the start of battle, your creatures gain [icons,1972]Major Healing. This spell has 100% more potency.","Zu Beginn des Kampfes erhalten deine Kreaturen [icons,1972]Starke Heilung. Dieser Zauber hat 100% mehr Wirksamkeit."
523,OLD_DEBUFF,"While this creature is below 50% {STAT_health}, it is immune to debuffs and takes 50% less damage.","Solange diese Kreatur unter 50% {STAT_health} ist, ist sie immun gegen Schwächungseffekte und erleidet 50% weniger Schaden."
653,POTENCY,"After this creature is {ACTION_attacked}, it afflicts enemies with {CONDNAME_DEBUFF_BURNED}. If enemies already have this debuff, its potency is increased by 30% instead.","Nachdem diese Kreatur {ACTION_attacked} wurde, belegt sie Feinde mit {CONDNAME_DEBUFF_BURNED}. Falls Feinde diesen Debuff bereits haben, wird stattdessen seine Wirksamkeit um 30% erhöht."
729,POTENCY,"When your creatures {ACTION_cast} a spell, 35% of their {STAT_speed} is added to their {STAT_intelligence} to determine the potency of the spell. This trait does not stack.","Wenn deine Kreaturen einen Zauber {ACTION_cast}, werden 35% ihrer {STAT_speed} zu ihrer {STAT_intelligence} hinzugefügt, um die Wirksamkeit des Zaubers zu bestimmen. Dieses Merkmal ist nicht kumulativ."
803,OLD_CREATURE,This creature deals 125% more damage for each additional dead creature you have greater than the enemy.,"Diese Kreatur verursacht 125% mehr Schaden für jedes zusätzliche tote Wesen, das du mehr als der Gegner hast."
834,POTENCY,Potency,Wirksamkeit
967,POTENCY,"After this creature {ACTION_attacks}, it increases the potency of the target's {CONDNAME_DEBUFF_POISON} and {CONDNAME_DEBUFF_BURNED} debuffs by 50%.","Nachdem diese Kreatur {ACTION_attacks}, erhöht sie die Wirksamkeit der Debuffs {CONDNAME_DEBUFF_POISON} und {CONDNAME_DEBUFF_BURNED} des Ziels um 50%."
975,POTENCY,The potency of the enemies' {CONDNAME_DEBUFF_POISON} and {CONDNAME_DEBUFF_BURNED} debuffs is shared with each other. This trait does not stack.,Die Wirksamkeit der {CONDNAME_DEBUFF_POISON}- und {CONDNAME_DEBUFF_BURNED}-Debuffs der Feinde wird miteinander geteilt. Dieses Merkmal ist nicht kumulativ.
1001,STACKING,"Your creatures have 7% more {STAT_attack} and {STAT_intelligence} for each resource-yielding object you've collected in the current Realm, up to a maximum of 15. If you're not in a Realm, this trait acts as if you've collected 10 objects. This trait does not stack.","Deine Kreaturen haben 7% mehr {STAT_attack} und {STAT_intelligence} für jedes ressourcenliefernde Objekt, das du im aktuellen Reich gesammelt hast, bis zu einem Maximum von 15. Wenn du dich nicht in einem Reich befindest, wirkt dieser Merkmal, als hättest du 10 Objekte gesammelt. Dieser Merkmal ist nicht stapelbar."
1037,POTENCY,"After this creature is {ACTION_attacked}, it afflicts enemies with {CONDNAME_DEBUFF_POISON}. If enemies already have this debuff, its potency is increased by 30% instead.","Nachdem diese Kreatur {ACTION_attacked} wurde, belegt sie Feinde mit {CONDNAME_DEBUFF_POISON}. Falls Feinde bereits diesen Debuff haben, wird stattdessen seine Wirksamkeit um 30% erhöht."
1061,STACKING,Your {RACE_Shapeshifter}s' innate traits are 50% more powerful. This trait does not stack.,Deine {RACE_Shapeshifter}-Merkmale sind 50% mächtiger. Dieser Merkmal ist nicht stapelbar.
1177,OLD_DEBUFF,"Your creatures are immune to damage from attacks and spells. In addition, your creatures are resistant to debuffs.",Deine Kreaturen sind immun gegen Schaden durch Angriffe und Zauber. Zusätzlich sind deine Kreaturen resistent gegen Schwächungseffekte.
1389,POTENCY,The potency of your creatures' {CONDNAME_BUFF_MEND} buffs increases by 50% each turn they have been active. This trait does not stack.,"Die Wirksamkeit der {CONDNAME_BUFF_MEND}-Buffs deiner Kreaturen erhöht sich um 50% pro Zug, in der sie aktiv waren. Dieses Merkmal ist nicht kumulativ."
1645,POTENCY,"After this creature {ACTION_defends} or {ACTION_provokes}, it increases the potency of each enemy's {CONDNAME_DEBUFF_BURNED} debuff by 65%.","Nachdem diese Kreatur {ACTION_defends} oder {ACTION_provokes}, erhöht sie die Wirksamkeit des {CONDNAME_DEBUFF_BURNED}-Debuffs jedes Gegners um 65%."
1663,POTENCY,"When this creature {ACTION_casts} a spell, 50% of its Current {STAT_health} is added to its {STAT_intelligence} to determine the spell's potency.","Wenn diese Kreatur einen Zauber {ACTION_casts}, werden 50% ihrer aktuellen {STAT_health} zu ihrer {STAT_intelligence} hinzugefügt, um die Wirksamkeit des Zaubers zu bestimmen."
