line,english,german,issues,reviewed,replacement
15,This creature does not have any Spell Gems equipped.,Dieses Wesen hat keine Zauber-Edelsteine ausgerüstet.,TERM:Creature->Kreatur; TERM:Spell Gems->Zaubersteine,,
51,Creatures that are resistant to {CONDNAME_DEBUFF_FROZEN} can't act until they thaw. They have a 50% (instead of 25%) chance to thaw at the start of their turn. The chance doubles each time this debuff activates.,"Kreaturen, die gegen {CONDNAME_DEBUFF_FROZEN} resistent sind, können nicht handeln, bis sie auftauen. Sie haben eine 50%ige (statt 25%ige) Chance, zu Beginn ihres Zuges aufzutauen. Die Chance verdoppelt sich jedes Mal, wenn dieser Debuff aktiviert wird.",TOKEN_MISMATCH,,
77,Trait,Eigenschaft,TERM:Trait->Merkmal,,
134,Traits,Eigenschaften,TERM:Traits->Merkmale,,
149,Spell Gems,Zauberedelsteine,TERM:Spell Gems->Zaubersteine,,
160,Traits,Eigenschaften,TERM:Traits->Merkmale,,
164,Manage Spell Gems,Zauberedelsteine verwalten,TERM:Spell Gems->Zaubersteine,,
211,Trait Gains,Eigenschaftsgewinne,TERM:Trait->Merkmal,,
271,Materials (Spell Gems),Materialien (Zauberedelsteine),TERM:Spell Gems->Zaubersteine,,
274,Spell Gems,Zauberedelsteine,TERM:Spell Gems->Zaubersteine,,
355,"This option allows you to disable the recolorization associated with fused enemy creatures.\n\nWhen palettes are disabled, an icon will appear next to each fused enemy to inform you that it is fused.","Diese Option ermöglicht es dir, die Neueinfärbung bei fusionierten Gegnerwesen zu deaktivieren.\n\nWenn Paletten deaktiviert sind, erscheint neben jedem fusionierten Gegner ein Symbol, das dich darüber informiert, dass er fusioniert ist.",TERM:Creatures->Kreaturen,,
377,"This option allows you to choose if floating battle text related to creatures gaining traits is displayed for enemies only, allies only, both, or neither.\n\nThis option is ignored in the Arena.","Diese Option ermöglicht es dir zu wählen, ob schwebender Kampftext bezüglich Kreaturen, die Eigenschaften erhalten, nur für Feinde, nur für Verbündete, für beide oder für keine angezeigt wird.\n\nDiese Option wird in der Arena ignoriert.",TERM:Traits->Merkmale,,
393,This creature cannot equip the gem.,Dieses Wesen kann den Edelstein nicht ausrüsten.,TERM:Creature->Kreatur,,
394,This creature has {1} empty Spell Gem slot(s).,Dieses Wesen hat {1} leere Zauberstein-Platz/Plätze.,TERM:Creature->Kreatur,,
422,Trait(s): {1} of {2},Eigenschaft(en): {1} von {2},TERM:Trait->Merkmal,,
427,"You can assign a creature's equipped Artifact and Spell Gems to an Item Set, and then automatically re-equip them later.",Du kannst das ausgerüstete Artefakt und die Zauber-Edelsteine einer Kreatur einem Ausrüstungsset zuweisen und sie später automatisch wieder ausrüsten.,TERM:Spell Gems->Zaubersteine,,
429,This creature does not have a Relic attuned to it.,Dieses Wesen hat kein auf es abgestimmtes Relikt.,TERM:Creature->Kreatur,,
466,Manage Spell Gems for your {1},Verwalte Zauber-Edelsteine für dein {1},TERM:Spell Gems->Zaubersteine,,
473,You cannot manage your creatures' Spell Gems while you are outside of {1}.,"Du kannst die Zauber-Edelsteine deiner Kreaturen nicht verwalten, während du dich außerhalb von {1} befindest.",TERM:Spell Gems->Zaubersteine,,
483,"This feature allows you to assign your creatures' Artifacts and Spell Gems to an ""Item Set"", then use that Item Set to equip these same items to a different creature later on.","Diese Funktion ermöglicht es dir, die Artefakte und Zaubergems deiner Kreaturen einem ""Ausrüstungsset"" zuzuweisen und dieses Ausrüstungsset später zu verwenden, um dieselben Gegenstände einer anderen Kreatur anzulegen.",TERM:Spell Gems->Zaubersteine,,
484,"First, you need to assign a creatures' items to an Item Set. To do this, use the ""Assign"" option and then select the Item Set you want to store the creatures' items in. You can use the ""Equip"" option later on to equip these items to any creature you want.","Zunächst musst du die Gegenstände einer Kreatur einem Gegenstandsset zuweisen. Verwende dazu die Option ""Zuweisen"" und wähle dann das Gegenstandsset aus, in dem du die Gegenstände der Kreatur speichern möchtest. Du kannst später die Option ""Ausrüsten"" verwenden, um diese Gegenstände bei jeder beliebigen Kreatur anzulegen.",TERM:Creatures->Kreaturen,,
485,"If an item specified in an Item Set cannot be found in your inventory, it will be ignored when you try to equip them to a creature. Similarly, if a creature cannot equip certain Spell Gems (usually due to class constraints), those gems will be ignored as well.","Wenn ein in einem Gegenstandsset angegebener Gegenstand nicht in deinem Inventar gefunden werden kann, wird er ignoriert, wenn du versuchst, ihn einer Kreatur auszurüsten. Ebenso werden Zauberedelsteine, die eine Kreatur nicht ausrüsten kann (normalerweise aufgrund von Klassenbeschränkungen), ebenfalls ignoriert.",TERM:Spell Gems->Zaubersteine,,
516,View Trait Details.,Eigenschaftsdetails anzeigen.,TERM:Trait->Merkmal,,
520,This Nether Stone does not grant any traits.,Dieser Netherkristall gewährt keine Eigenschaften.,TERM:Traits->Merkmale,,
524,This artifact does not have a material socketed in its Trait Slot.,Dieses Artefakt hat kein Material in seinem Eigenschaftsplatz eingesetzt.,TERM:Trait->Merkmal,,
532,You can only fuse an Avatar creature if it is the first creature you choose.,"Du kannst ein Avatar-Wesen nur verschmelzen, wenn es das erste Wesen ist, das du auswählst.",TERM:Creature->Kreatur,,
654,[[Macro Editor],Makro-Editor,TOKEN_MISMATCH,,
686,One or more of the Spell Gems assigned to this item set could not be found in your inventory.,Einer oder mehrere der diesem Gegenstandsset zugewiesenen Zauberedelsteine konnten in deinem Inventar nicht gefunden werden.,TERM:Spell Gems->Zaubersteine,,
690,Warning: some of the Spell Gems that belong to this set cannot be equipped by this creature.,"Warnung: Einige der Zauberedelsteine, die zu diesem Set gehören, können von dieser Kreatur nicht ausgerüstet werden.",TERM:Spell Gems->Zaubersteine,,
724,Trait: {1}\n{2},Eigenschaft: {1}\n{2},TERM:Trait->Merkmal,,
726,"This creature's trait does not have a corresponding Trait material, so you cannot take on an Assassination Mission for this creature.","Dieses Wesen hat keine entsprechende Eigenschaftsmaterie, daher kannst du keinen Attentatsmission für dieses Wesen annehmen.",TERM:Creature->Kreatur; TERM:Trait->Merkmal,,
727,You don't have Rank S knowledge with any creatures.,Du hast bei keiner Kreatur Rang-S-Wissen.,TERM:Creatures->Kreaturen,,
728,"After completing this Project, you will receive the following Trait Material:\n\n{1} (Owned: {2})",Nach Abschluss dieses Projekts erhältst du das folgende Eigenschaftsmaterial:\n\n{1} (Besessen: {2}),TERM:Trait->Merkmal,,
748,You do not have any Spell Gems.,Du hast keine Zauberedelsteine.,TERM:Spell Gems->Zaubersteine,,
786,You do not have any Spell Gems.,Du hast keine Zauberedelsteine.,TERM:Spell Gems->Zaubersteine,,
795,This creature has the following trait:,Dieses Wesen hat die folgende Eigenschaft:,TERM:Creature->Kreatur; TERM:Trait->Merkmal,,
880,Tier: Design Trait,Stufe: Design-Eigenschaft,TERM:Trait->Merkmal,,
981,What Are Spell Gems?,Was sind Zauberedelsteine?,TERM:Spell Gems->Zaubersteine,,
982,Equipping Spell Gems,Zauberedelsteine ausrüsten,TERM:Spell Gems->Zaubersteine,,
1016,"You can Fuse two creatures together to create a new one.\n\nThe offspring inherits the average base stats of both parents, as well as both of their traits. In addition, the resulting creature will inherit the class of the secondary parent.\n\nAesthetically, the offspring will inherit the body of the primary parent and the color palette of the secondary parent. There are several different color combinations for you to choose from with each Fusion, so choose the one you think looks best!","Du kannst zwei Kreaturen miteinander verschmelzen, um eine neue zu erschaffen.\n\nDer Nachwuchs erbt die durchschnittlichen Basiswerte beider Eltern sowie beide ihrer Eigenschaften. Außerdem übernimmt die resultierende Kreatur die Klasse des zweiten Elternteils.\n\nVom Aussehen her erbt der Nachwuchs den Körper des ersten Elternteils und die Farbpalette des zweiten Elternteils. Bei jeder Fusion stehen dir verschiedene Farbkombinationen zur Auswahl, also wähle die, die deiner Meinung nach am besten aussieht!",TERM:Traits->Merkmale,,
1018,"Your creatures can equip Spell Gems that allow them to cast spells in battle. Normally, a creature can equip only up to 3 Spell Gems at a time, but this limit can be increased later on.\n\nSpell Gems can be Enchanted with new properties that change the way the spell behaves in battle. For example, you might Enchant a Gem of Fireball to increase the damage it deals to your enemies.\n\nEach Spell Gem has a certain number of Charges. Each time a creature casts a spell, that Spell Gem loses 1 Charge. If a Spell Gem runs out of Charges, it can't be used until you return to Siralim where it will be recharged automatically.","Deine Kreaturen können Zauberedelsteine ausrüsten, die ihnen ermöglichen, Zauber im Kampf zu wirken. Normalerweise kann eine Kreatur nur bis zu 3 Zauberedelsteine gleichzeitig ausrüsten, aber diese Grenze kann später erhöht werden.\n\nZauberedelsteine können mit neuen Eigenschaften verzaubert werden, die das Verhalten des Zaubers im Kampf verändern. Du könntest zum Beispiel einen Feuerball-Edelstein verzaubern, um den Schaden zu erhöhen, den er deinen Feinden zufügt.\n\nJeder Zauberedelstein hat eine bestimmte Anzahl an Ladungen. Jedes Mal, wenn eine Kreatur einen Zauber wirkt, verliert dieser Zauberedelstein 1 Ladung. Wenn ein Zauberedelstein keine Ladungen mehr hat, kann er nicht mehr verwendet werden, bis du nach Siralim zurückkehrst, wo er automatisch wieder aufgeladen wird.",TERM:Spell Gem->Zauberstein; TERM:Spell Gems->Zaubersteine,,
1030,"Cards are extremely rare items that have a chance to drop from enemy creatures after battle. Each Card is part of a ""Card Set"", and when you collect enough Cards in a Card Set, your creatures will receive a passive bonus in battle. There is a Card for every single creature in Rodia.\n\nYou can view all the Cards you've collected, as well as the bonuses you've unlocked for them, by selecting the [menu_cards] Cards option from the main menu.","Karten sind extrem seltene Gegenstände, die nach einem Kampf mit einer gewissen Wahrscheinlichkeit von feindlichen Kreaturen fallen gelassen werden. Jede Karte ist Teil eines ""Karten-Sets",TOKEN_MISMATCH,,
1035,"Have you tried to use the [battle_inspect] Inspect command in battle yet?\n\nInspection is vital to your creatures' survival in combat. This command allows you to view all kinds of vital details about your enemies: their level, stats, traits, Artifact and Spell Gem information, and much more.\n\nRemember to use the [battle_inspect] Inspect command frequently, especially when you encounter an enemy you haven't seen before.\n\nYou can also hold down {KEYF} in battle to view additional information about the creatures you're fighting.","Hast du den [battle_inspect] Untersuchen-Befehl im Kampf schon ausprobiert?\n\nUntersuchung ist entscheidend für das Überleben deiner Kreaturen im Kampf. Dieser Befehl ermöglicht es dir, alle Arten von wichtigen Details über deine Feinde zu sehen: ihr Level, Werte, Eigenschaften, Artefakt- und Zauberstein-Informationen und vieles mehr.\n\nDenke daran, den [battle_inspect] Untersuchen-Befehl häufig zu nutzen, besonders wenn du auf einen Feind triffst, den du noch nicht gesehen hast.\n\nDu kannst auch {KEYF} im Kampf gedrückt halten, um zusätzliche Informationen über die Kreaturen zu sehen, gegen die du kämpfst.",TERM:Traits->Merkmale,,
