Tag,Notes,English,Japanese,German,French,Spanish,Portuguese,Russian,Italian,Chinese (Traditional),Chinese (Simplified),Korean,Polish,Ukrainian,Dutch,Turkish
L_SKIN_ANIMATUSGHOST,,Animatus (Ghost),アニマタス（ゴースト）,Animatus (Geist),Animatus (Fantôme),Animatus (Fantasma),Animatus (Fantasma),Анимат (Призрак),Animatus (Fantasma),活屍（鬼魂）,幽魂灵偶,애니마투스 (유령),Animatus (Duch),Анімат (Привид),Animatus (Geest),Animatus (Hayalet)
L_SKIN_ANIMATUSGROSS,,Animatus (Gross),アニマタス（グロス）,Animatus (Ekelhaft),Animatus (Dégoûtant),Animatus (Asqueroso),Animatus (Nojento),Анимат (Мерзость),Animatus (Ripugnante),活屍（噁心）,丑恶灵偶,애니마투스 (역겨움),Animatus (Obrzydliwy),Анімат (Огидний),Animatus (Walgelijk),Animatus (İğrenç)
L_SKIN_ANIMATUSPURPLE,,Animatus (Purple),アニマタス（紫）,Animatus (Lila),Animatus (Violet),Animatus (Púrpura),Animatus (Roxo),Анимат (Фиолетовый),Animatus (Viola),活靈活現（紫）,紫灵偶,애니마투스 (보라색),Animatus (Fioletowy),Анімат (Фіолетовий),Animatus (Paars),Animatus (Mor)
L_SKIN_ANIMATUSRED,,Animatus (Red),アニマタス（赤）,Animatus (Rot),Animatus (Rouge),Animatus (Rojo),Animatus (Vermelho),Анимат (Красный),Animatus (Rosso),活靈獸（紅）,赤灵偶,애니마투스 (적색),Animatus (Czerwony),Анімат (Червоний),Animatus (Rood),Animatus (Kırmızı)
L_SKIN_ANIMATUSWOOD,,Animatus (Wood),アニマタス（木）,Animatus (Holz),Animatus (Bois),Animatus (Madera),Animatus (Madeira),Анимат (Дерево),Animatus (Legno),活木靈 (木),森灵偶,애니마투스 (목재),Animatus (Drewno),Анімат (Дерево),Animatus (Hout),Animatus (Odun)
L_SKIN_XYRXZYS,,Xyrxzys,ザーザイス,Xyrxzys,Xyrxzys,Xyrxzys,Xyrxzys,Ксирксис,Xyrxzys,薩爾西斯,克西尔瑞克西滋义斯,지르지스,Xyrxzys,Ксірксіс,Xyrxzys,Xyrxzys
L_SKIN_ETTA,,Etta,エッタ,Etta,Etta,Etta,Etta,Этта,Etta,艾塔,艾塔,에타,Etta,Етта,Etta,Etta
L_SKIN_GIRAN,,Giran,ギラン,Giran,Giran,Giran,Giran,Гиран,Giran,奇連,吉兰,기란,Giran,Гіран,Giran,Giran
L_SKIN_IMPIMPINGTON,,Imp Impington,インプ・インピントン,Kobold Koboldingen,Imp Impington,Diablillo Impington,Diabrete Impington,Бес Импингтон,Imp Impington,小惡魔英彭頓,小鬼英普顿,임프 임핑턴,Chochlik Impington,Імп Імпінгтон,Kobold Koboldstein,İblis İmpington
L_SKIN_IMPIMPINGTONPRIME,,Imp Impington Prime,インプ・インピントン・プライム,Imp Impington Prime,Imp Impington Prime,Diablillo Impington Supremo,Diabrete Impington Prime,Бес Импингтон Прайм,Imp Impington Prime,小惡魔英普頓大王,钢铁小鬼英普顿,임프 임핑턴 프라임,Imp Impington Pierwszy,Імп Імпінгтон Прайм,Kobold Koboldstein Opperhoofd,İblis İmpington Üstün
