Tag,Notes,English,Japanese,German,French,Spanish,Portuguese,Russian,Italian,Chinese (Traditional),Chinese (Simplified),Korean,Polish,Ukrainian,Dutch,Turkish
L_SN_AFFLICTION,,Affliction,苦悩,Gebrechen,Affliction,Aflicción,Aflição,Недуг,Afflizione,痛苦,折磨,고통,Dolegliwość,Недуга,Kwelling,Rahatsızlık
L_SD_AFFLICTION,,Enemies are afflicted with a random debuff.,敵はランダムな弱体化効果を受ける。,Feinde werden mit einem zufälligen Schwächungszauber belegt.,Les ennemis sont affligés d'une altération d'état aléatoire.,Los enemigos son afectados por un debilitamiento aleatorio.,Inimigos são afligidos com uma penalidade aleatória.,Враги получают случайный дебафф.,I nemici sono afflitti da un debuff casuale.,敵人會受到隨機減益效果影響。,敌人被施加随机减益。,적들은 무작위 디버프에 걸립니다.,Wrogowie zostają dotknięci losowym osłabieniem.,Вороги отримують випадковий дебаф.,Vijanden worden getroffen door een willekeurige verzwakking.,Düşmanlar rastgele bir zayıflatıcı etkiye maruz kalır.
L_SN_AFTERMATH,,Aftermath,余波,Nachwirkung,Conséquences,Secuelas,Consequências,Последствия,Conseguenze,餘波,余波,여파,Następstwa,Наслідки,Nasleep,Sonuç
L_SD_AFTERMATH,,Caster {ACTION_attacks} random enemies once for each turn the caster has taken in the current battle. Maximum of 10 attacks.,キャスターは現在の戦闘で行動した回数だけ、ランダムな敵に{ACTION_attacks}を行う。最大10回まで攻撃する。,"Zauberwirker {ACTION_attacks} zufällige Gegner einmal für jede Runde, die der Zauberwirker in der aktuellen Schlacht absolviert hat. Maximal 10 Angriffe.",Le lanceur {ACTION_attacks} des ennemis aléatoires une fois pour chaque tour que le lanceur a effectué dans la bataille actuelle. Maximum de 10 attaques.,El lanzador {ACTION_attacks} a enemigos aleatorios una vez por cada turno que el lanzador haya realizado en la batalla actual. Máximo de 10 ataques.,O Conjurador {ACTION_attacks} inimigos aleatórios uma vez para cada turno que o conjurador tenha realizado na batalha atual. Máximo de 10 ataques.,"Заклинатель {ACTION_attacks} случайных врагов по одному разу за каждый ход, который заклинатель совершил в текущем бою. Максимум 10 атак.",Il Lanciatore {ACTION_attacks} nemici casuali una volta per ogni turno che il lanciatore ha effettuato nella battaglia attuale. Massimo 10 attacchi.,施法者{ACTION_attacks}隨機敵人，次數等同於施法者在當前戰鬥中已進行的回合數。最多10次攻擊。,施法者{ACTION_attacks}随机敌人，次数等同于施法者在当前战斗中已进行的回合数。最多攻击10次。,시전자는 현재 전투에서 시전자가 수행한 턴마다 무작위 적을 한 번씩 {ACTION_attacks}합니다. 최대 10번 공격합니다.,"Zaklinacz {ACTION_attacks} losowych wrogów raz za każdą turę, którą zaklinacz wykonał w obecnej bitwie. Maksymalnie 10 ataków.","Заклинач {ACTION_attacks} випадкових ворогів один раз за кожен хід, який заклинач зробив у поточній битві. Максимум 10 атак.",Magiër {ACTION_attacks} willekeurige vijanden één keer voor elke beurt die de magiër heeft genomen in het huidige gevecht. Maximum van 10 aanvallen.,"Büyücü, mevcut savaşta gerçekleştirdiği her tur için rastgele düşmanlara bir kez {ACTION_attacks} yapar. Maksimum 10 saldırı."
L_SN_ANGER,,Anger,怒り,Zorn,Colère,Ira,Ira,Гнев,Ira,憤怒,愤怒,분노,Gniew,Гнів,Woede,Öfke
L_SD_ANGER,,Target creature's {STAT_attack} is set equal to its {STAT_intelligence}.,対象の生物の{STAT_attack}はその{STAT_intelligence}と同じ値に設定される。,Zielkreatur's {STAT_attack} wird gleich ihrem {STAT_intelligence} gesetzt.,La {STAT_attack} de la créature ciblée est fixée à sa {STAT_intelligence}.,La {STAT_attack} de la criatura objetivo se establece igual a su {STAT_intelligence}.,A {STAT_attack} da criatura alvo é definida como igual à sua {STAT_intelligence}.,Параметр {STAT_attack} целевого существа устанавливается равным его {STAT_intelligence}.,La {STAT_attack} della creatura bersaglio viene impostata pari alla sua {STAT_intelligence}.,目標生物的{STAT_attack}設定為等同於其{STAT_intelligence}。,目标生物的{STAT_attack}被设为与其{STAT_intelligence}等同。,대상 생물의 {STAT_attack}이(가) 해당 생물의 {STAT_intelligence}와(과) 동일하게 설정됩니다.,Atak wybranego stworzenia zostaje ustawiony na wartość równą jego Inteligencji.,Значення {STAT_attack} цільового створіння встановлюється рівним його {STAT_intelligence}.,Doelwezen's {STAT_attack} wordt gelijk aan zijn {STAT_intelligence}.,"Hedef yaratığın {STAT_attack} değeri, {STAT_intelligence} değerine eşitlenir."
L_SN_WORDOFCHAOS,,Word of Chaos,混沌の言葉,Wort des Chaos,Mot du Chaos,Palabra del Caos,Palavra do Caos,Слово Хаоса,Parola del Caos,混沌之語,混沌之语,혼돈의 말씀,Słowo Chaosu,Слово Хаосу,Woord van Chaos,Kaos Sözü
L_SD_WORDOFCHAOS,,Target has a 5% chance to be killed for each debuff it has.,対象は、付与されている弱体効果1つにつき5%の確率で即死する。,"Das Ziel hat pro Debuff eine Chance von 5%, getötet zu werden.",La cible a 5% de chances d'être tuée pour chaque affaiblissement qu'elle possède.,El objetivo tiene un 5% de probabilidad de morir por cada perjuicio que tenga.,O alvo tem 5% de chance de ser morto para cada debuff que possui.,У цели есть 5% шанс погибнуть за каждый имеющийся на ней дебафф.,Il bersaglio ha una probabilità del 5% di essere ucciso per ogni debuff che possiede.,目標每有一個減益效果，就有5%的機率被擊殺。,目标每有一个减益，就有5%的几率被击杀。,대상은 보유한 디버프마다 5%의 확률로 즉사합니다.,Cel ma 5% szansy na śmierć za każdy posiadany debuff.,"Ціль має 5% шанс бути вбитою за кожен дебаф, який вона має.",Het doelwit heeft 5% kans om gedood te worden voor elke debuff die het heeft.,"Hedef, sahip olduğu her zayıflatıcı etki için %5 ölüm şansına sahiptir."
L_SN_ANNIHILATE,,Annihilate,殲滅,Vernichten,Annihiler,Aniquilar,Aniquilar,Уничтожить,Annientare,殲滅,歼灭,섬멸하다,Unicestwić,Знищити,Vernietigen,Yok Et
L_SD_ANNIHILATE,,"Enemies take a small amount of damage, or a massive amount of damage if they are afflicted with a debuff.",敵は少量のダメージを受けるが、デバフ状態の場合は大量のダメージを受ける。,"Feinde erleiden einen geringen Schaden oder einen massiven Schaden, wenn sie von einer Schwächung betroffen sind.","Les ennemis subissent une petite quantité de dégâts, ou une quantité massive de dégâts s'ils sont affligés d'une altération d'état.","Los enemigos reciben una pequeña cantidad de daño, o una cantidad masiva de daño si están afectados por un debuff.","Inimigos recebem uma pequena quantidade de dano, ou uma quantidade massiva de dano se estiverem afetados por um debuff.","Враги получают небольшой урон, или огромный урон, если на них наложен дебафф.","I nemici subiscono una piccola quantità di danno, o una quantità massiccia di danno se sono afflitti da un debuff.",敵人受到少量傷害，若其處於減益狀態則會受到巨大傷害。,敌人受到少量伤害，如果它们带有减益，则受到巨量伤害。,"적들은 소량의 피해를 입거나, 디버프에 걸려 있다면 막대한 양의 피해를 입습니다.","Wrogowie otrzymują niewielkie obrażenia lub ogromne obrażenia, jeśli są pod wpływem osłabienia.","Вороги отримують невелику кількість пошкоджень, або величезну кількість пошкоджень, якщо на них діє дебаф.","Vijanden nemen een kleine hoeveelheid schade, of een enorme hoeveelheid schade als ze getroffen zijn door een verzwakking.","Düşmanlar az miktarda hasar alır, veya bir zayıflatıcı etkiye maruz kalmışlarsa çok büyük miktarda hasar alır."
